src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:29,0.0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,54,54,54.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,4136,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:29,62193.209,2,0,160,0,106.0,54.0,80.0,26.0,0.0,0.0,0.0,0.0,2572.628146587516,32.157851832343944,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,32.157851832343944,0.0,54,106,80.0,26.0,676.0,1,0,0,0,0,0,0,0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160,0,0,6052,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:29,128018.498,3,0,274,0,114.0,54.0,91.33333333333333,26.599916457680003,0.0,0.0,0.0,0.0,2140.3156909402264,23.434113404455033,0.0,0.0,0.0,0.0,128018.4979999999923165887594,64009.248999999996,1816.0399999999936,65825.28899999999,62193.209,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,23.434113404455033,0.0,54,114,91.33333333333333,26.599916457680003,707.5555555555555,1,0,0,0,0,0,0,0,0.0,91.33333333333333,91.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,274,0,0,4136,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:29,130598.21399999999,4,0,388,0,114.0,54.0,97.0,25.03996805109783,0.0,0.0,0.0,0.0,2970.9441508901496,30.628290215362366,0.0,0.0,0.0,0.0,130598.2139999999926658347249,43532.738,28996.097547554713,65825.28899999999,2579.7160000000003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,30.628290215362366,0.0,54,114,97.0,25.03996805109783,627.0,1,0,0,0,0,0,0,0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,388,0,0,6052,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:30,234029.905,5,0,442,0,114.0,54.0,88.4,28.238980151556465,0.0,0.0,0.0,0.0,1888.6475213498888,21.364790965496482,0.0,0.0,0.0,0.0,234029.9049999999988358467817,58507.47625,36101.36578730119,103431.691,2579.7160000000003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,21.364790965496482,0.0,54,114,88.4,28.238980151556465,797.4399999999999,1,0,0,0,0,0,0,0,0.0,88.4,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,442,0,0,4136,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:30,447681.84300000005,6,0,548,0,114.0,54.0,91.33333333333333,26.599916457680003,0.0,0.0,0.0,0.0,1224.0835954564277,13.40237513273461,0.0,0.0,0.0,0.0,447681.8430000000225845724344,89536.3686,69955.81127567867,213651.93800000002,2579.7160000000003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,13.40237513273461,0.0,54,114,91.33333333333333,26.599916457680003,707.5555555555555,1,0,0,0,0,0,0,0,0.0,91.33333333333333,91.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,548,0,0,6052,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:30,559983.442,7,0,602,0,114.0,54.0,86.0,27.877282097486784,0.0,0.0,0.0,0.0,1075.0317863862838,12.500369609142835,0.0,0.0,0.0,0.0,559983.4420000000245636329055,93330.57366666668,64421.732123600224,213651.93800000002,2579.7160000000003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,12.500369609142835,0.0,54,114,86.0,27.877282097486784,777.1428571428571,1,0,0,0,0,0,0,0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,602,0,0,4136,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:30,568144.422,8,0,708,0,114.0,54.0,88.5,26.90260210462921,0.0,0.0,0.0,0.0,1246.1620189945295,14.080926768299769,0.0,0.0,0.0,0.0,568144.4220000000241270754486,81163.48885714286,66674.63796552792,213651.93800000002,2579.7160000000003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,14.080926768299769,0.0,54,114,88.5,26.90260210462921,723.75,1,0,0,0,0,0,0,0,0.0,88.5,88.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,708,0,0,6052,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:30,635973.3269999999,9,0,822,0,114.0,54.0,91.33333333333333,26.599916457680003,0.0,0.0,0.0,0.0,1292.5070362266938,14.151536892992999,0.0,0.0,0.0,0.0,635973.3270000000229629222303,79496.665875,62524.13151201332,213651.93800000002,2579.7160000000003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,14.151536892992999,0.0,54,114,91.33333333333333,26.599916457680003,707.5555555555555,1,0,0,0,0,0,0,0,0.0,91.33333333333333,91.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,822,0,0,4136,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:30,635973.618,10,0,936,0,114.0,54.0,93.6,26.135033958271414,0.0,0.0,0.0,0.0,1471.7591634437892,15.72392268636527,0.0,0.0,0.0,0.0,635973.6180000000229629031345,70663.73533333333,64023.97452980117,213651.93800000002,0.291,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,15.72392268636527,0.0,54,114,93.6,26.135033958271414,683.04,1,0,0,0,0,0,0,0,0.0,93.6,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,936,0,0,4136,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:30,636084.766,11,0,990,0,114.0,54.0,90.0,27.396084657217983,0.0,0.0,0.0,0.0,1556.3963372768467,17.293292636409408,0.0,0.0,0.0,0.0,636084.7660000000229590377820,63608.4766,64320.70013053226,213651.93800000002,0.291,0.0,0.0,0.0,0.0,0.0,0,0,0,0,220,0,17.293292636409408,0.0,54,114,90.0,27.396084657217983,750.5454545454545,1,0,0,0,0,0,0,0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,990,0,0,6052,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:30,638297.581,12,0,1156,0,166.0,54.0,96.33333333333333,33.60390188984342,0.0,0.0,0.0,0.0,1811.0674932982395,18.800008580950582,0.0,0.0,0.0,0.0,638297.5810000000230136074641,58027.05281818182,63816.69538634252,213651.93800000002,0.291,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0,18.800008580950582,0.0,54,166,96.33333333333333,33.60390188984342,1129.2222222222224,1,0,0,0,0,0,0,0,0.0,96.33333333333333,96.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1156,0,0,6052,0,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:30,706021.525,13,0,1278,0,166.0,54.0,98.3076923076923,33.00206197610319,0.0,0.0,0.0,0.0,1810.1431114299241,18.413036344748836,0.0,0.0,0.0,0.0,706021.5250000000116049059251,58835.12708333333,61158.585252291414,213651.93800000002,0.291,0.0,0.0,0.0,0.0,0.0,0,0,0,0,260,0,18.413036344748836,0.0,54,166,98.3076923076923,33.00206197610319,1089.136094674556,1,0,0,0,0,0,0,0,0.0,98.3076923076923,98.3076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1278,0,0,4135,0,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:30,708607.07,14,0,1384,0,166.0,54.0,98.85714285714286,31.863228118356883,0.0,0.0,0.0,0.0,1953.127563347625,19.75707072750488,0.0,0.0,0.0,0.0,708607.0700000000116776655012,54508.236153846156,60640.872405173795,213651.93800000002,0.291,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,19.75707072750488,0.0,54,166,98.85714285714286,31.863228118356883,1015.2653061224488,1,0,0,0,0,0,0,0,0.0,98.85714285714286,98.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1384,0,0,6052,0,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:30,777999.655,15,0,1506,0,166.0,54.0,100.4,31.31942953929185,0.0,0.0,0.0,0.0,1935.733506205732,19.280214205236376,0.0,0.0,0.0,0.0,777999.6550000000180805082017,55571.40392857143,58560.60326052978,213651.93800000002,0.291,0.0,0.0,0.0,0.0,0.0,0,0,0,0,300,0,19.280214205236376,0.0,54,166,100.4,31.31942953929185,980.9066666666669,1,0,0,0,0,0,0,0,0.0,100.4,100.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1506,0,0,4135,0,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
