dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
80,6,14/02/2018 01:22:05,115384064,16,15,442,1770,431,0,27.625,107.5675756598,1460,0,118.0,379.740512907,19.1707582773,0.2686679505,3846135.46666667,4844115.52237353,10015743,1,115384064,7692270.93333333,4167478.74603259,10046691,11901,110489716,7892122.57142857,4255058.65798025,10046561,1,0,0,0,0,332,444,0.1386673293,0.1300006212,0,1460,69.125,270.039871608,72921.5322580645,0,0,0,1,0,0,0,0,0,71.3548387097,27.625,118.0,0,0,0,0,0,0,16,442,15,1770,8192,946,12,20,41755.2727272727,36826.9468191185,152792,30496,10002750.4545455,5233.8652134658,10015743,10000238
80,6,14/02/2018 01:22:05,115381940,16,15,442,1770,431,0,27.625,107.5675756598,1460,0,118.0,379.740512907,19.1711111808,0.2686728963,3846064.66666667,4844727.15940126,10015933,1,115381940,7692129.33333334,4169248.47200694,10046694,9783,110487500,7891964.28571429,4256949.08660321,10046606,1,0,0,0,0,332,444,0.138669882,0.1300030143,0,1460,69.125,270.039871608,72921.5322580645,0,0,0,1,0,0,0,0,0,71.3548387097,27.625,118.0,0,0,0,0,0,0,16,442,15,1770,8192,946,12,20,40843.4545454546,33510.864564686,141882,30637,10003459.8181818,6179.0619808863,10015933,10000165
443,6,14/02/2018 01:22:06,116329857,21,19,750,5558,381,0,35.7142857143,93.7081335089,1460,0,292.5263157895,560.9210053733,54.2251160852,0.3438498166,2982816.84615385,4545974.29483638,10014946,0,116329857,5816492.85,4915624.31172152,10031142,28,110826134,6157007.44444444,4996981.85644229,10031210,0,0,0,0,0,432,524,0.1805211537,0.1633286629,0,1460,153.8536585366,403.7680374284,163028.62804878,0,0,0,1,0,0,0,0,0,157.7,35.7142857143,292.5263157895,0,0,0,0,0,0,21,750,19,5558,8192,123,15,20,61776.75,157631.507628695,562324,16196,9632375.66666666,1305415.76572393,10014946,5487508
51614,6,14/02/2018 01:24:02,56,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35714.2857142857,56.0,0.0,56,56,56,56.0,0.0,56,56,0,0.0,0.0,0,0,0,0,0,0,40,0,35714.2857142857,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,123,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
445,6,14/02/2018 01:24:04,108770,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,36.7748460053,36256.6666666667,62706.611647683,108664,1,108770,54385.0,76910.5903760984,108769,1,0,0.0,0.0,0,0,0,0,0,0,72,32,27.581134504,9.1937115013,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0
80,6,14/02/2018 01:22:09,115689938,16,14,443,706,432,0,27.6875,107.8175735521,706,0,50.4285714286,188.6864367902,9.931719386,0.2593138221,3989308.20689655,4847025.60105443,10013323,77,115689938,7712662.53333333,4201393.21960653,10109201,1732,111374052,8567234.76923077,3759291.65587586,10109230,95922,0,0,0,0,332,424,0.1383007051,0.121013117,0,706,37.064516129,146.3425058972,21416.1290322581,0,0,0,1,0,0,0,0,0,38.3,27.6875,50.4285714286,0,0,0,0,0,0,16,443,14,706,8192,172,12,20,118537.909090909,75006.5008082027,344691,95878,10006366.1818182,18119.4432961843,10013323,9952949
443,6,14/02/2018 01:22:09,116231444,23,22,1238,7440,472,0,53.8260869565,130.7317350962,1460,0,338.1818181818,547.3681303564,74.6613799274,0.387158573,2641623.72727273,4375156.26462487,10014819,1,116231444,5283247.45454546,4989775.86660292,10046744,40,110868531,5279453.85714286,5122076.1731184,10047743,1,0,0,0,0,472,584,0.1978810484,0.1892775246,0,1460,188.652173913,411.3239446466,169187.387439614,0,0,0,1,0,0,0,0,0,192.8444444444,53.8260869565,338.1818181818,0,0,0,0,0,0,23,1238,22,7440,8192,1013,16,20,68055.9166666667,124738.285518454,464152,31891,9617894.41666667,1350226.02955603,10014819,5330931
443,6,14/02/2018 01:22:10,115739801,20,17,1892,3988,1285,0,94.6,293.1163591477,1400,0,234.5882352941,511.6141195793,50.8036124928,0.3196825956,3214994.47222222,4652611.50650852,10003991,1,115739801,6091568.47368421,4871488.21269723,10015500,18,110267573,6891723.3125,4785745.05107101,10019163,1,0,0,0,0,412,484,0.172801403,0.1468811926,0,1400,154.7368421053,403.5343640018,162839.982930299,0,0,0,1,0,0,0,0,0,158.9189189189,94.6,234.5882352941,0,0,0,0,0,0,20,1892,17,3988,8192,14135,15,20,23619.4166666667,41432.1491564183,155183,11443,9621362.5,1310347.54515749,10003991,5460664
80,6,14/02/2018 01:22:07,118147499,19,16,1319,2364,436,0,69.4210526316,163.0835899468,788,0,147.75,317.652955283,31.1728985478,0.2962398722,3474926.44117647,4688553.03552777,10004247,30,118147499,6563749.94444444,4620299.98321979,10015489,153,112628054,7508536.93333333,4340955.2661387,10026012,415,0,0,0,0,392,464,0.1608159306,0.1354239416,0,788,102.3055555556,242.3892759821,58752.5611111111,0,0,0,1,0,0,0,0,0,105.2285714286,69.4210526316,147.75,0,0,0,0,0,0,19,1319,16,2364,8192,292,14,20,238464.181818182,752976.315868543,2508773,11233,10000438.6363636,11838.3204659507,10004247,9964757
80,6,14/02/2018 01:22:09,116017295,16,14,456,971,445,0,28.5,111.0675470153,971,0,69.3571428571,259.510665897,12.2998902879,0.2585821364,4000596.37931035,4891126.16425611,10005287,43,116017295,7734486.33333333,4130348.8956309,10015500,193,110185309,8475793.0,3758722.5352682,10017512,2921,0,0,0,0,332,424,0.1379104727,0.1206716637,0,971,46.0322580645,189.3135818109,35839.6322580645,0,0,0,1,0,0,0,0,0,47.5666666667,28.5,69.3571428571,0,0,0,0,0,0,16,456,14,971,8192,119,12,20,16451.8181818182,20343.0534277339,77782,10172,10000386.6363636,15737.4099538189,10005287,9952944
