src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
51.142.253.91,15.236.229.88,2555,22746,6,2005-12-20 20:39:40,0.0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,54,54,54.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246.160.37.73,137.48.165.27,36850,38839,6,2005-12-20 20:39:40,91.0,2,0,108,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1186813.1868131869,21978.021978021978,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,21978.021978021978,0.0,54,54,54.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,108,0,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.128.129.15,188.173.242.72,65386,6909,6,2005-12-20 20:39:40,135.0,3,0,162,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1200000.0,22222.222222222223,0.0,0.0,0.0,0.0,135,67.5,23.5,91.0,44.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,22222.222222222223,0.0,54,54,54.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,162,0,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.79.12.119,227.13.23.6,17662,20614,6,2005-12-20 20:39:40,177.0,4,0,216,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1220338.9830508474,22598.870056497177,0.0,0.0,0.0,0.0,177,59.0,22.642143596988927,91.0,42.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,22598.870056497177,0.0,54,54,54.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,216,0,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230.185.60.16,228.104.247.35,51795,23062,6,2005-12-20 20:39:40,220.0,5,0,270,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1227272.7272727273,22727.272727272728,0.0,0.0,0.0,0.0,220,55.0,20.796634343085422,91.0,42.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,22727.272727272728,0.0,54,54,54.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,270,0,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.247.134.114,16.169.137.52,41795,26887,6,2005-12-20 20:39:40,262.0,6,0,324,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1236641.2213740456,22900.763358778622,0.0,0.0,0.0,0.0,262,52.4,19.31424344881259,91.0,42.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,22900.763358778622,0.0,54,54,54.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,324,0,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242.168.51.119,167.184.28.110,59753,25893,6,2005-12-20 20:39:40,304.0,7,0,378,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1243421.0526315789,23026.315789473683,0.0,0.0,0.0,0.0,304,50.666666666666664,18.05239288540134,91.0,42.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,23026.315789473683,0.0,54,54,54.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,378,0,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.171.3.32,240.31.248.85,28321,38294,6,2005-12-20 20:39:40,346.0,8,0,432,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1248554.9132947978,23121.387283236993,0.0,0.0,0.0,0.0,346,49.42857142857143,16.98618886757409,91.0,42.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,23121.387283236993,0.0,54,54,54.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,432,0,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.55.63.122,201.244.221.89,2851,54476,6,2005-12-20 20:39:40,388.0,9,0,486,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1252577.3195876288,23195.876288659794,0.0,0.0,0.0,0.0,388,48.5,16.077935190813527,91.0,42.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,23195.876288659794,0.0,54,54,54.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,486,0,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238.227.214.84,147.47.105.20,34984,8752,6,2005-12-20 20:39:40,429.0,10,0,540,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1258741.2587412586,23310.02331002331,0.0,0.0,0.0,0.0,429,47.666666666666664,15.340577998671801,91.0,41.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,23310.02331002331,0.0,54,54,54.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,540,0,0,512,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
