src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
12.234.13.202,161.58.73.170,1567,110,6,2003-08-24 21:46:02,0.0,1,0,67,0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,67,67,67.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,67,0,0,64040,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.58.73.170,12.234.13.202,110,1567,6,2003-08-24 21:46:02,79320.0,2,0,131,0,67.0,64.0,65.5,1.5,0.0,0.0,0.0,0.0,1651.5380736258194,25.214321734745337,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,25.214321734745337,0.0,64,67,65.5,1.5,2.25,1,0,0,0,0,0,0,0,0.0,65.5,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,131,0,0,49152,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.58.73.170,12.234.13.202,110,1567,6,2003-08-24 21:46:02,90650.0,3,0,1649,0,1518.0,64.0,549.6666666666666,684.7161617942301,0.0,0.0,0.0,0.0,18190.84390512962,33.09431880860453,0.0,0.0,0.0,0.0,90650,45325.0,33995.0,79320.0,11330.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,33.09431880860453,0.0,64,1518,549.6666666666666,684.7161617942301,468836.2222222222,1,0,0,0,0,0,0,0,0.0,549.6666666666666,549.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1649,0,0,49152,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.58.73.170,12.234.13.202,110,1567,6,2003-08-24 21:46:02,91089.0,4,0,3167,0,1518.0,64.0,791.75,726.2507745262651,0.0,0.0,0.0,0.0,34768.193744579476,43.913095983049544,0.0,0.0,0.0,0.0,91089,30363.0,34902.190542524215,79320.0,439.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,43.913095983049544,0.0,64,1518,791.75,726.2507745262651,527440.1875,1,0,0,0,0,0,0,0,0.0,791.75,791.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3167,0,0,49152,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.234.13.202,161.58.73.170,1567,110,6,2003-08-24 21:46:02,91117.0,5,0,3231,0,1518.0,64.0,646.2,711.822562159981,0.0,0.0,0.0,0.0,35459.903201378445,54.87450201389422,0.0,0.0,0.0,0.0,91117,22779.25,32956.97150357569,79320.0,28.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,54.87450201389422,0.0,64,1518,646.2,711.822562159981,506691.36,1,0,0,0,0,0,0,0,0.0,646.2,646.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3231,0,0,64512,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.58.73.170,12.234.13.202,110,1567,6,2003-08-24 21:46:02,92467.0,6,0,4465,0,1518.0,64.0,744.1666666666666,685.7332855337336,0.0,0.0,0.0,0.0,48287.49716114939,64.8880141023284,0.0,0.0,0.0,0.0,92467,18493.4,30698.593085677396,79320.0,28.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,64.8880141023284,0.0,64,1518,744.1666666666666,685.7332855337336,470230.13888888893,1,0,0,0,0,0,0,0,0.0,744.1666666666666,744.1666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4465,0,0,49152,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.58.73.170,12.234.13.202,110,1567,6,2003-08-24 21:46:02,93082.0,7,0,5983,0,1518.0,64.0,854.7142857142857,690.2021886552445,0.0,0.0,0.0,0.0,64276.65928965858,75.20250961517802,0.0,0.0,0.0,0.0,93082,15513.666666666666,28805.041252453633,79320.0,28.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,75.20250961517802,0.0,64,1518,854.7142857142857,690.2021886552445,476379.06122448976,1,0,0,0,0,0,0,0,0.0,854.7142857142857,854.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5983,0,0,49152,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.234.13.202,161.58.73.170,1567,110,6,2003-08-24 21:46:02,93103.0,8,0,6047,0,1518.0,64.0,755.875,696.5745540679762,0.0,0.0,0.0,0.0,64949.57197942064,85.92633964533903,0.0,0.0,0.0,0.0,93103,13300.42857142857,27213.746971795303,79320.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,85.92633964533903,0.0,64,1518,755.875,696.5745540679762,485216.109375,1,0,0,0,0,0,0,0,0.0,755.875,755.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6047,0,0,64512,0,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.58.73.170,12.234.13.202,110,1567,6,2003-08-24 21:46:02,94360.0,9,0,7565,0,1518.0,64.0,840.5555555555555,699.049054249352,0.0,0.0,0.0,0.0,80171.68291649004,95.3793980500212,0.0,0.0,0.0,0.0,94360,11795.0,25765.844203130626,79320.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,95.3793980500212,0.0,64,1518,840.5555555555555,699.049054249352,488669.58024691354,1,0,0,0,0,0,0,0,0.0,840.5555555555555,840.5555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,7565,0,0,49152,0,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.58.73.170,12.234.13.202,110,1567,6,2003-08-24 21:46:02,94888.0,10,0,9083,0,1518.0,64.0,908.3,693.6183460664805,0.0,0.0,0.0,0.0,95723.37914172497,105.38740409746227,0.0,0.0,0.0,0.0,94888,10543.111111111111,24548.976165319647,79320.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,105.38740409746227,0.0,64,1518,908.3,693.6183460664805,481106.41,1,0,0,0,0,0,0,0,0.0,908.3,908.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9083,0,0,49152,0,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
