src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
0.0.0.0,255.255.255.255,68,67,17,2004-09-02 16:51:53,0.0,1,0,342,0,342.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0.0,342,342,342.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,342,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.70.67.186,24.6.125.19,2431,5554,6,2004-09-02 16:51:54,938012.0,2,0,404,0,342.0,62.0,202.0,140.0,0.0,0.0,0.0,0.0,430.69811473627203,2.13216888483303,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28,0,2.13216888483303,0.0,62,342,202.0,140.0,19600.0,1,0,0,0,0,0,0,0,0.0,202.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,404,0,0,16384,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.70.67.186,24.6.125.19,2860,9898,6,2004-09-02 16:51:55,1755318.0,3,0,466,0,342.0,62.0,155.33333333333334,131.99326582148885,0.0,0.0,0.0,0.0,265.4789616468355,1.7090920277693273,0.0,0.0,0.0,0.0,1755318,877659.0,60353.0,938012.0,817306.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0,1.7090920277693273,0.0,62,342,155.33333333333334,131.99326582148885,17422.22222222222,1,0,0,0,0,0,0,0,0.0,155.33333333333334,155.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,466,0,0,16384,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.101.42.68,24.6.125.19,1560,4899,6,2004-09-02 17:01:09,556468939.0,4,0,528,0,342.0,62.0,132.0,121.2435565298214,0.0,0.0,0.0,0.0,0.9488400214194166,0.007188181980450126,0.0,0.0,0.0,0.0,556468939,185489646.33333334,261080780.91397062,554713621.0,817306.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68,0,0.007188181980450126,0.0,62,342,132.0,121.2435565298214,14700.0,1,0,0,0,0,0,0,0,0.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,528,0,0,16384,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.6.125.19,203.101.42.68,4899,1560,6,2004-09-02 17:01:09,556478580.0,5,0,588,0,342.0,60.0,117.6,112.20267376493307,0.0,0.0,0.0,0.0,1.0566444444276724,0.008985071806357759,0.0,0.0,0.0,0.0,556478580,139119645.0,239943559.3904253,554713621.0,9641.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,88,0,0.008985071806357759,0.0,60,342,117.6,112.20267376493307,12589.44,1,0,0,0,0,0,0,0,0.0,117.6,117.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,588,0,0,0,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.101.42.68,24.6.125.19,1560,4899,6,2004-09-02 17:01:10,557229229.0,6,0,650,0,342.0,60.0,108.33333333333333,104.5014619780774,0.0,0.0,0.0,0.0,1.1664858305557406,0.01076756151282222,0.0,0.0,0.0,0.0,557229229,111445845.8,221634126.44041288,554713621.0,9641.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,108,0,0.01076756151282222,0.0,60,342,108.33333333333333,104.5014619780774,10920.555555555557,1,0,0,0,0,0,0,0,0.0,108.33333333333333,108.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,650,0,0,16384,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.6.125.19,203.101.42.68,4899,1560,6,2004-09-02 17:01:10,557229235.0,7,0,710,0,342.0,60.0,101.42857142857143,98.21675321575692,0.0,0.0,0.0,0.0,1.2741614319643513,0.012562154963028815,0.0,0.0,0.0,0.0,557229235,92871539.16666667,206542399.20748207,554713621.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0,0.012562154963028815,0.0,60,342,101.42857142857143,98.21675321575692,9646.530612244898,1,0,0,0,0,0,0,0,0.0,101.42857142857143,101.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,710,0,0,0,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.101.42.68,24.6.125.19,1560,4899,6,2004-09-02 17:01:11,557932751.0,8,0,772,0,342.0,60.0,96.5,92.79412696932926,0.0,0.0,0.0,0.0,1.3836793029559935,0.014338645626486981,0.0,0.0,0.0,0.0,557932751,79704678.71428572,193921912.49408364,554713621.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0,0.014338645626486981,0.0,60,342,96.5,92.79412696932926,8610.75,1,0,0,0,0,0,0,0,0.0,96.5,96.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,772,0,0,16384,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.6.125.19,203.101.42.68,4899,1560,6,2004-09-02 17:01:11,557932857.0,9,0,832,0,342.0,60.0,92.44444444444444,88.23593512233877,0.0,0.0,0.0,0.0,1.4912188618423667,0.016130973265121758,0.0,0.0,0.0,0.0,557932857,69741607.125,183302575.52921966,554713621.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.016130973265121758,0.0,60,342,92.44444444444444,88.23593512233877,7785.580246913578,1,0,0,0,0,0,0,0,0.0,92.44444444444444,92.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,832,0,0,0,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211.91.150.78,24.6.125.19,2597,9898,6,2004-09-02 17:01:50,596714158.0,10,0,894,0,342.0,60.0,89.4,84.2047504598167,0.0,0.0,0.0,0.0,1.498204773616248,0.016758442657899865,0.0,0.0,0.0,0.0,596714158,66301573.11111111,173093009.55599484,554713621.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0,0.016758442657899865,0.0,60,342,89.4,84.2047504598167,7090.44,1,0,0,0,0,0,0,0,0.0,89.4,89.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,894,0,0,16384,0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
