src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
128.121.136.217,67.169.189.180,20,2662,6,2006-05-03 03:13:36,0.0,1,0,60,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,60,60,60.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,60,0,0,32768,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.169.189.180,128.121.136.217,2662,20,6,2006-05-03 03:13:36,43.0,2,0,118,0,60.0,58.0,59.0,1.0,0.0,0.0,0.0,0.0,2744186.0465116277,46511.62790697674,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,46511.62790697674,0.0,58,60,59.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,118,0,0,65535,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.121.136.217,67.169.189.180,20,2662,6,2006-05-03 03:13:36,14093.0,3,0,178,0,60.0,58.0,59.333333333333336,0.9428090415820634,0.0,0.0,0.0,0.0,12630.383878521252,212.87163840204357,0.0,0.0,0.0,0.0,14093,7046.5,7003.5,14050.0,43.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,212.87163840204357,0.0,58,60,59.333333333333336,0.9428090415820634,0.888888888888889,1,0,0,0,0,0,0,0,0.0,59.333333333333336,59.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,178,0,0,33580,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.169.189.180,128.121.136.217,2662,20,6,2006-05-03 03:13:36,15671.999999999998,4,0,1692,0,1514.0,58.0,423.0,629.8896728793067,0.0,0.0,0.0,0.0,107963.24655436448,255.23226135783565,0.0,0.0,0.0,0.0,15672,5224.0,6272.3483640499435,14050.0,43.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,255.23226135783565,0.0,58,1514,423.0,629.8896728793067,396761.0,1,0,0,0,0,0,0,0,0.0,423.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1692,0,0,65535,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.169.189.180,128.121.136.217,2662,20,6,2006-05-03 03:13:36,15696.000000000002,5,0,3206,0,1514.0,58.0,641.2,712.6385900300377,0.0,0.0,0.0,0.0,204255.86136595308,318.55249745158,0.0,0.0,0.0,0.0,15696,3924.0,5880.201144518783,14050.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,318.55249745158,0.0,58,1514,641.2,712.6385900300377,507853.76000000007,1,0,0,0,0,0,0,0,0.0,641.2,641.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3206,0,0,65535,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.121.136.217,67.169.189.180,20,2662,6,2006-05-03 03:13:37,40541.0,6,0,3266,0,1514.0,58.0,544.3333333333334,685.6582401037869,0.0,0.0,0.0,0.0,80560.42031523642,147.99832268567621,0.0,0.0,0.0,0.0,40541,8108.2,9883.9026178934,24845.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,147.99832268567621,0.0,58,1514,544.3333333333334,685.6582401037869,470127.22222222225,1,0,0,0,0,0,0,0,0.0,544.3333333333334,544.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3266,0,0,32120,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.169.189.180,128.121.136.217,2662,20,6,2006-05-03 03:13:37,40563.0,7,0,4780,0,1514.0,58.0,682.8571428571429,719.7911261651692,0.0,0.0,0.0,0.0,117841.3825407391,172.5710622981535,0.0,0.0,0.0,0.0,40563,6760.5,9512.680252343886,24845.0,22.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,172.5710622981535,0.0,58,1514,682.8571428571429,719.7911261651692,518099.26530612254,1,0,0,0,0,0,0,0,0.0,682.8571428571429,682.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4780,0,0,65535,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.169.189.180,128.121.136.217,2662,20,6,2006-05-03 03:13:37,40582.0,8,0,6294,0,1514.0,58.0,786.75,727.2502578205111,0.0,0.0,0.0,0.0,155093.39115864175,197.13173328076488,0.0,0.0,0.0,0.0,40582,5797.428571428572,9117.501143517384,24845.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,197.13173328076488,0.0,58,1514,786.75,727.2502578205111,528892.9375,1,0,0,0,0,0,0,0,0.0,786.75,786.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6294,0,0,65535,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.169.189.180,128.121.136.217,2662,20,6,2006-05-03 03:13:37,40606.0,9,0,7808,0,1514.0,58.0,867.5555555555555,722.7470913291118,0.0,0.0,0.0,0.0,192286.8541594838,221.6421218539132,0.0,0.0,0.0,0.0,40606,5075.75,8739.763351344245,24845.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,221.6421218539132,0.0,58,1514,867.5555555555555,722.7470913291118,522363.35802469135,1,0,0,0,0,0,0,0,0.0,867.5555555555555,867.5555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,7808,0,0,65535,0,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.121.136.217,67.169.189.180,20,2662,6,2006-05-03 03:13:37,62893.00000000001,10,0,7868,0,1514.0,58.0,786.8,727.2002200219689,0.0,0.0,0.0,0.0,125101.36263177141,159.0002067002687,0.0,0.0,0.0,0.0,62893,6988.111111111111,9856.643044097997,24845.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,159.0002067002687,0.0,58,1514,786.8,727.2002200219689,528820.1599999999,1,0,0,0,0,0,0,0,0.0,786.8,786.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7868,0,0,33580,0,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.169.189.180,128.121.136.217,2662,20,6,2006-05-03 03:13:37,62907.00000000001,11,0,9382,0,1514.0,58.0,852.9090909090909,724.1890077930378,0.0,0.0,0.0,0.0,149140.79514203506,174.86130319360325,0.0,0.0,0.0,0.0,62907,6290.7,9582.041077453176,24845.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,220,0,174.86130319360325,0.0,58,1514,852.9090909090909,724.1890077930378,524449.7190082646,1,0,0,0,0,0,0,0,0.0,852.9090909090909,852.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9382,0,0,65535,0,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.169.189.180,128.121.136.217,2662,20,6,2006-05-03 03:13:37,62925.99999999999,12,0,10896,0,1514.0,58.0,908.0,717.0290556641806,0.0,0.0,0.0,0.0,173155.77026984078,190.70018752185106,0.0,0.0,0.0,0.0,62926,5720.545454545455,9312.325628518918,24845.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0,190.70018752185106,0.0,58,1514,908.0,717.0290556641806,514130.6666666667,1,0,0,0,0,0,0,0,0.0,908.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,10896,0,0,65535,0,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.121.136.217,67.169.189.180,20,2662,6,2006-05-03 03:13:37,120341.0,13,0,10956,0,1514.0,58.0,842.7692307692307,725.0122708612649,0.0,0.0,0.0,0.0,91041.29099808045,108.02635843145727,0.0,0.0,0.0,0.0,120341,10028.416666666666,16841.26151479521,57415.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,260,0,108.02635843145727,0.0,58,1514,842.7692307692307,725.0122708612649,525642.7928994083,1,0,0,0,0,0,0,0,0.0,842.7692307692307,842.7692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,10956,0,0,32120,0,12,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
