src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
192.168.0.114,192.168.0.193,1137,21,6,2006-12-16 17:24:40,0.0,1,0,62,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62,0,0,16384,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.193,192.168.0.114,21,1137,6,2006-12-16 17:24:40,2319.0,2,0,124,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,53471.32384648556,862.44070720138,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,862.44070720138,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,124,0,0,16384,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.114,192.168.0.193,1137,21,6,2006-12-16 17:24:40,2338.0,3,0,178,0,62.0,54.0,59.333333333333336,3.7712361663282534,0.0,0.0,0.0,0.0,76133.44739093243,1283.1479897348163,0.0,0.0,0.0,0.0,2338,1169.0,1150.0,2319.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,1283.1479897348163,0.0,54,62,59.333333333333336,3.7712361663282534,14.222222222222223,1,0,0,0,0,0,0,0,0.0,59.333333333333336,59.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,178,0,0,17424,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.193,192.168.0.114,21,1137,6,2006-12-16 17:24:40,4399.0,4,0,262,0,84.0,54.0,65.5,11.169153951844338,0.0,0.0,0.0,0.0,59558.99067969993,909.2975676290066,0.0,0.0,0.0,0.0,4399,1466.3333333333333,1028.8250040161781,2319.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,909.2975676290066,0.0,54,84,65.5,11.169153951844338,124.75,1,0,0,0,0,0,0,0,0.0,65.5,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,262,0,0,65535,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.114,192.168.0.193,1137,21,6,2006-12-16 17:24:40,5259.0,5,0,331,0,84.0,54.0,66.2,10.087616170334794,0.0,0.0,0.0,0.0,62939.72238068074,950.7510933637574,0.0,0.0,0.0,0.0,5259,1314.75,928.8666144824024,2319.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,950.7510933637574,0.0,54,84,66.2,10.087616170334794,101.76,1,0,0,0,0,0,0,0,0.0,66.2,66.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,331,0,0,17394,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.193,192.168.0.114,21,1137,6,2006-12-16 17:24:40,6560.0,6,0,422,0,91.0,54.0,70.33333333333333,13.046923860520616,0.0,0.0,0.0,0.0,64329.26829268293,914.6341463414634,0.0,0.0,0.0,0.0,6560,1312.0,830.8217618719433,2319.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,914.6341463414634,0.0,54,91,70.33333333333333,13.046923860520616,170.2222222222222,1,0,0,0,0,0,0,0,0.0,70.33333333333333,70.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,422,0,0,65520,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.114,192.168.0.193,1137,21,6,2006-12-16 17:24:40,7647.0,7,0,487,0,91.0,54.0,69.57142857142857,12.222428363547108,0.0,0.0,0.0,0.0,63685.105270040534,915.3916568588988,0.0,0.0,0.0,0.0,7647,1274.5,763.0543340199744,2319.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,915.3916568588988,0.0,54,91,69.57142857142857,12.222428363547108,149.3877551020408,1,0,0,0,0,0,0,0,0.0,69.57142857142857,69.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,487,0,0,17357,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.193,192.168.0.114,21,1137,6,2006-12-16 17:24:40,9936.0,8,0,571,0,91.0,54.0,71.375,12.388881103634823,0.0,0.0,0.0,0.0,57467.79388083736,805.1529790660226,0.0,0.0,0.0,0.0,9936,1419.4285714285713,790.6319095043727,2319.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,805.1529790660226,0.0,54,91,71.375,12.388881103634823,153.484375,1,0,0,0,0,0,0,0,0.0,71.375,71.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,571,0,0,65509,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.114,192.168.0.193,1137,21,6,2006-12-16 17:24:40,10088.0,9,0,631,0,91.0,54.0,70.11111111111111,12.215149468721613,0.0,0.0,0.0,0.0,62549.563838223636,892.1490880253767,0.0,0.0,0.0,0.0,10088,1261.0,850.0933772239376,2319.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,892.1490880253767,0.0,54,91,70.11111111111111,12.215149468721613,149.2098765432099,1,0,0,0,0,0,0,0,0.0,70.11111111111111,70.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,631,0,0,17327,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.193,192.168.0.114,21,1137,6,2006-12-16 17:24:40,11397.0,10,0,704,0,91.0,54.0,70.4,11.62067123706716,0.0,0.0,0.0,0.0,61770.641396858824,877.4238834781083,0.0,0.0,0.0,0.0,11397,1266.3333333333333,801.6176700203713,2319.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,877.4238834781083,0.0,54,91,70.4,11.62067123706716,135.04000000000002,1,0,0,0,0,0,0,0,0.0,70.4,70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,704,0,0,65503,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
