src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
10.1.4.176,66.68.99.53,3663,6346,6,2001-07-24 15:46:05,0.0,1,0,62,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62,0,0,8192,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1.4.176,198.82.59.65,3684,6346,6,2001-07-24 15:46:05,28257.0,2,0,124,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,4388.293166295077,70.77892203701738,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,70.77892203701738,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,124,0,0,8192,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.82.59.65,10.1.4.176,6346,3684,6,2001-07-24 15:46:05,60831.0,3,0,184,0,62.0,60.0,61.333333333333336,0.9428090415820634,0.0,0.0,0.0,0.0,3024.7735529581955,49.31696010257927,0.0,0.0,0.0,0.0,60831,30415.5,2158.5,32574.0,28257.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,49.31696010257927,0.0,60,62,61.333333333333336,0.9428090415820634,0.888888888888889,1,0,0,0,0,0,0,0,0.0,61.333333333333336,61.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,184,0,0,0,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1.4.176,198.82.59.65,3684,6346,6,2001-07-24 15:46:06,499894.0,4,0,246,0,62.0,60.0,61.5,0.8660254037844386,0.0,0.0,0.0,0.0,492.10432611713685,8.00169635962824,0.0,0.0,0.0,0.0,499894,166631.33333333334,192646.34069425997,439063.0,28257.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,8.00169635962824,0.0,60,62,61.5,0.8660254037844386,0.75,1,0,0,0,0,0,0,0,0.0,61.5,61.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,246,0,0,8192,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.82.59.65,10.1.4.176,6346,3684,6,2001-07-24 15:46:06,531212.0,5,0,306,0,62.0,60.0,61.2,0.9797958971132712,0.0,0.0,0.0,0.0,576.0412038884664,9.412437972033764,0.0,0.0,0.0,0.0,531212,132803.0,176826.2645805198,439063.0,28257.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,9.412437972033764,0.0,60,62,61.2,0.9797958971132712,0.96,1,0,0,0,0,0,0,0,0.0,61.2,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,306,0,0,0,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1.4.176,198.82.59.65,3684,6346,6,2001-07-24 15:46:06,999962.0,6,0,368,0,62.0,60.0,61.333333333333336,0.9428090415820634,0.0,0.0,0.0,0.0,368.0139845314122,6.000228008664329,0.0,0.0,0.0,0.0,999962,199992.4,207537.18742875938,468750.0,28257.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,6.000228008664329,0.0,60,62,61.333333333333336,0.9428090415820634,0.8888888888888888,1,0,0,0,0,0,0,0,0.0,61.333333333333336,61.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,368,0,0,8192,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.82.59.65,10.1.4.176,6346,3684,6,2001-07-24 15:46:06,1030592.0,7,0,428,0,62.0,60.0,61.142857142857146,0.989743318610787,0.0,0.0,0.0,0.0,415.2952865925604,6.792212631186736,0.0,0.0,0.0,0.0,1030592,171765.33333333334,199692.0293883114,468750.0,28257.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,6.792212631186736,0.0,60,62,61.142857142857146,0.989743318610787,0.9795918367346939,1,0,0,0,0,0,0,0,0.0,61.142857142857146,61.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,428,0,0,0,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1.4.176,65.14.7.224,3685,6346,6,2001-07-24 15:46:06,1086458.0,8,0,490,0,62.0,60.0,61.25,0.9682458365518543,0.0,0.0,0.0,0.0,451.00684978158387,7.363377139291165,0.0,0.0,0.0,0.0,1086458,155208.2857142857,189274.9867609213,468750.0,28257.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,7.363377139291165,0.0,60,62,61.25,0.9682458365518543,0.9375,1,0,0,0,0,0,0,0,0.0,61.25,61.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,490,0,0,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1.4.176,66.24.134.146,3686,6346,6,2001-07-24 15:46:06,1086711.0,9,0,552,0,62.0,60.0,61.333333333333336,0.9428090415820634,0.0,0.0,0.0,0.0,507.954736815952,8.281870708955738,0.0,0.0,0.0,0.0,1086711.000000000000028421709,135838.875,184317.96314144038,468750.0,253.00000000000003,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,8.281870708955738,0.0,60,62,61.333333333333336,0.9428090415820634,0.8888888888888888,1,0,0,0,0,0,0,0,0.0,61.333333333333336,61.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,552,0,0,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1.4.176,205.197.184.228,3687,6346,6,2001-07-24 15:46:06,1086960.0,10,0,614,0,62.0,60.0,61.4,0.9165151389911679,0.0,0.0,0.0,0.0,564.8781923897844,9.199970560094208,0.0,0.0,0.0,0.0,1086960.000000000000000000000,120773.33333333333,178924.8046849725,468750.0,248.99999999999997,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,9.199970560094208,0.0,60,62,61.4,0.9165151389911679,0.8399999999999999,1,0,0,0,0,0,0,0,0.0,61.4,61.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,614,0,0,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
