src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
10.100.18.5,10.100.16.1,3756,23,6,2007-02-20 20:51:27,0.0,1,0,62,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62,0,0,65535,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.16.1,10.100.18.5,23,3756,6,2007-02-20 20:51:27,1244.0,2,0,122,0,62.0,60.0,61.0,1.0,0.0,0.0,0.0,0.0,98070.73954983921,1607.717041800643,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1607.717041800643,0.0,60,62,61.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,122,0,0,8192,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.18.5,10.100.16.1,3756,23,6,2007-02-20 20:51:27,1263.0,3,0,176,0,62.0,54.0,58.666666666666664,3.39934634239519,0.0,0.0,0.0,0.0,139350.7521773555,2375.296912114014,0.0,0.0,0.0,0.0,1263,631.5,612.5,1244.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,2375.296912114014,0.0,54,62,58.666666666666664,3.39934634239519,11.555555555555557,1,0,0,0,0,0,0,0,0.0,58.666666666666664,58.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,176,0,0,65535,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.16.1,10.100.18.5,23,3756,6,2007-02-20 20:51:27,3143.0,4,0,236,0,62.0,54.0,59.0,3.0,0.0,0.0,0.0,0.0,75087.49602290805,1272.6694241170856,0.0,0.0,0.0,0.0,3143,1047.6666666666667,772.3299525174169,1880.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,1272.6694241170856,0.0,54,62,59.0,3.0,9.0,1,0,0,0,0,0,0,0,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,236,0,0,8192,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.18.5,10.100.16.1,3756,23,6,2007-02-20 20:51:27,3201.0,5,0,293,0,62.0,54.0,58.6,2.8,0.0,0.0,0.0,0.0,91533.895657607,1562.011871290222,0.0,0.0,0.0,0.0,3201,800.25,794.3646439136122,1880.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,1562.011871290222,0.0,54,62,58.6,2.8,7.839999999999999,1,0,0,0,0,0,0,0,0.0,58.6,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,293,0,0,65532,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.16.1,10.100.18.5,23,3756,6,2007-02-20 20:51:27,4161.0,6,0,353,0,62.0,54.0,58.833333333333336,2.608745973749755,0.0,0.0,0.0,0.0,84835.37611151166,1441.9610670511897,0.0,0.0,0.0,0.0,4161,832.2,713.369020914141,1880.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,1441.9610670511897,0.0,54,62,58.833333333333336,2.608745973749755,6.805555555555556,1,0,0,0,0,0,0,0,0.0,58.833333333333336,58.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,353,0,0,8189,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.18.5,10.100.16.1,3756,23,6,2007-02-20 20:51:27,150539.0,7,0,407,0,62.0,54.0,58.142857142857146,2.9485382057928993,0.0,0.0,0.0,0.0,2703.6183314622785,46.49957818239791,0.0,0.0,0.0,0.0,150539,25089.833333333332,54245.6261291073,146378.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,46.49957818239791,0.0,54,62,58.142857142857146,2.9485382057928993,8.693877551020408,1,0,0,0,0,0,0,0,0.0,58.142857142857146,58.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,407,0,0,65530,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.16.1,10.100.18.5,23,3756,6,2007-02-20 20:51:27,151553.0,8,0,471,0,64.0,54.0,58.875,3.370367190678191,0.0,0.0,0.0,0.0,3107.8236656483214,52.7868138538993,0.0,0.0,0.0,0.0,151552.9999999999998863131623,21650.428571428572,50923.42562222263,146378.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,52.7868138538993,0.0,54,64,58.875,3.370367190678191,11.359375,1,0,0,0,0,0,0,0,0.0,58.875,58.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,471,0,0,8189,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.18.5,10.100.16.1,3756,23,6,2007-02-20 20:51:27,351722.0,9,0,525,0,64.0,54.0,58.333333333333336,3.527668414752788,0.0,0.0,0.0,0.0,1492.6561318313898,25.58839083139525,0.0,0.0,0.0,0.0,351721.9999999999998863131623,43965.25,75859.76967528638,200169.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,25.58839083139525,0.0,54,64,58.333333333333336,3.527668414752788,12.444444444444446,1,0,0,0,0,0,0,0,0.0,58.333333333333336,58.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,525,0,0,65520,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.18.5,10.100.16.1,3756,23,6,2007-02-20 20:51:28,1285806.0,10,0,580,0,64.0,54.0,58.0,3.492849839314596,0.0,0.0,0.0,0.0,451.0789341471419,7.77722300253693,0.0,0.0,0.0,0.0,1285805.999999999999886313162,142867.33333333334,288735.6398649502,934084.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,7.77722300253693,0.0,54,64,58.0,3.492849839314596,12.2,1,0,0,0,0,0,0,0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,580,0,0,65520,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.16.1,10.100.18.5,23,3756,6,2007-02-20 20:51:28,1287056.0,11,0,640,0,64.0,54.0,58.18181818181818,3.3795691446256555,0.0,0.0,0.0,0.0,497.2588605313211,8.546636665382081,0.0,0.0,0.0,0.0,1287055.999999999999886313162,128705.6,277193.85811096174,934084.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,220,0,8.546636665382081,0.0,54,64,58.18181818181818,3.3795691446256555,11.421487603305785,1,0,0,0,0,0,0,0,0.0,58.18181818181818,58.18181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,640,0,0,8192,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
