src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
192.168.0.184,24.46.230.187,1038,1706,6,2007-01-06 23:17:32,0.0,1,0,62,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62,0,0,65535,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,69.206.254.66,1039,3531,6,2007-01-06 23:17:32,19.0,2,0,124,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,6526315.789473684,105263.15789473684,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,105263.15789473684,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,124,0,0,65535,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,24.46.230.187,1038,1706,6,2007-01-06 23:17:32,1354.0,3,0,186,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,137370.75332348596,2215.6573116691284,0.0,0.0,0.0,0.0,1354,677.0,658.0,1335.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,2215.6573116691284,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,186,0,0,65535,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,69.206.254.66,1039,3531,6,2007-01-06 23:17:32,2375.0,4,0,248,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,104421.05263157895,1684.2105263157896,0.0,0.0,0.0,0.0,2375,791.6666666666666,561.1947572416866,1335.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,1684.2105263157896,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,248,0,0,65535,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,64.124.109.200,1040,80,6,2007-01-06 23:17:32,338822.0,5,0,588,0,340.0,62.0,117.6,111.19999999999999,0.0,0.0,0.0,0.0,1735.4245001800355,14.757011055952683,0.0,0.0,0.0,0.0,338822,84705.5,145343.83536548773,336447.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,14.757011055952683,0.0,62,340,117.6,111.19999999999999,12365.439999999999,1,0,0,0,0,0,0,0,0.0,117.6,117.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,588,0,0,65284,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,64.124.109.200,1040,80,6,2007-01-06 23:17:32,340546.0,6,0,928,0,340.0,62.0,154.66666666666666,131.0504567799068,0.0,0.0,0.0,0.0,2725.0356779994477,17.61876515947919,0.0,0.0,0.0,0.0,340546,68109.2,134170.0901011846,336447.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,17.61876515947919,0.0,62,340,154.66666666666666,131.0504567799068,17174.22222222222,1,0,0,0,0,0,0,0,0.0,154.66666666666666,154.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,928,0,0,65284,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,64.124.109.200,1040,80,6,2007-01-06 23:17:33,638241.0,7,0,988,0,340.0,60.0,141.14285714285714,125.7701174722342,0.0,0.0,0.0,0.0,1548.004593875981,10.96764388373671,0.0,0.0,0.0,0.0,638241,106373.5,149405.91522398524,336447.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,10.96764388373671,0.0,60,340,141.14285714285714,125.7701174722342,15818.122448979591,1,0,0,0,0,0,0,0,0.0,141.14285714285714,141.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,988,0,0,65041,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,64.124.109.200,1040,80,6,2007-01-06 23:17:33,638386.0,8,0,1048,0,340.0,60.0,131.0,120.66896867049125,0.0,0.0,0.0,0.0,1641.6400109024946,12.531603136660264,0.0,0.0,0.0,0.0,638386,91198.0,143230.67739738678,336447.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,12.531603136660264,0.0,60,340,131.0,120.66896867049125,14561.0,1,0,0,0,0,0,0,0,0.0,131.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1048,0,0,65041,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,64.124.109.200,1040,80,6,2007-01-06 23:17:33,800253.0,9,0,1108,0,340.0,60.0,123.11111111111111,115.93527355520833,0.0,0.0,0.0,0.0,1384.5621322256836,11.246443312302484,0.0,0.0,0.0,0.0,800253,100031.625,136003.23192385677,336447.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,11.246443312302484,0.0,60,340,123.11111111111111,115.93527355520833,13440.987654320988,1,0,0,0,0,0,0,0,0.0,123.11111111111111,123.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1108,0,0,64671,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,64.124.109.200,1040,80,6,2007-01-06 23:17:33,800403.0,10,0,1168,0,340.0,60.0,116.8,111.60358417183564,0.0,0.0,0.0,0.0,1459.2648953089881,12.493706295453666,0.0,0.0,0.0,0.0,800403,88933.66666666667,132011.31670765538,336447.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,12.493706295453666,0.0,60,340,116.8,111.60358417183564,12455.36,1,0,0,0,0,0,0,0,0.0,116.8,116.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1168,0,0,64671,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,205.152.37.23,1037,53,17,2007-01-06 23:17:36,3725242.0,11,0,1249,0,340.0,60.0,113.54545454545455,106.90638524714774,0.0,0.0,0.0,0.0,335.2802314587884,2.95282829947692,0.0,0.0,0.0,0.0,3725242,372524.2,859939.8841381646,2924839.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,208,0,2.95282829947692,0.0,60,340,113.54545454545455,106.90638524714774,11428.975206611567,1,0,0,0,0,0,0,0,0.0,113.54545454545455,113.54545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1249,0,0,0,0,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,205.152.37.23,1037,53,17,2007-01-06 23:17:36,3734060.0,12,0,1330,0,340.0,60.0,110.83333333333333,102.74956069113982,0.0,0.0,0.0,0.0,356.18067197634747,3.213660198282834,0.0,0.0,0.0,0.0,3734060,339460.0,826560.3749985951,2924839.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,216,0,3.213660198282834,0.0,60,340,110.83333333333333,102.74956069113982,10557.472222222224,1,0,0,0,0,0,0,0,0.0,110.83333333333333,110.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1330,0,0,0,0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,69.45.79.159,1042,80,6,2007-01-06 23:17:36,3825649.0,13,0,1392,0,340.0,60.0,107.07692307692308,99.57251824942738,0.0,0.0,0.0,0.0,363.85983136456065,3.3981162411920174,0.0,0.0,0.0,0.0,3825649,318804.0833333333,794331.0927344736,2924839.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,236,0,3.3981162411920174,0.0,60,340,107.07692307692308,99.57251824942738,9914.686390532546,1,0,0,0,0,0,0,0,0.0,107.07692307692308,107.07692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1392,0,0,65535,0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,69.45.79.159,1042,80,6,2007-01-06 23:17:36,3827332.0,14,0,1454,0,340.0,60.0,103.85714285714286,96.65022144890537,0.0,0.0,0.0,0.0,379.8991046504458,3.6579005949836594,0.0,0.0,0.0,0.0,3827332,294410.1538461539,767832.7427429297,2924839.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,256,0,3.6579005949836594,0.0,60,340,103.85714285714286,96.65022144890537,9341.265306122448,1,0,0,0,0,0,0,0,0.0,103.85714285714286,103.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1454,0,0,65535,0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,69.45.79.159,1042,80,6,2007-01-06 23:17:36,3876838.0,15,0,1514,0,340.0,60.0,100.93333333333334,94.01167776162467,0.0,0.0,0.0,0.0,390.52444285781354,3.8691325250113624,0.0,0.0,0.0,0.0,3876838,276917.0,742585.5635786549,2924839.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,276,0,3.8691325250113624,0.0,60,340,100.93333333333334,94.01167776162467,8838.195555555554,1,0,0,0,0,0,0,0,0.0,100.93333333333334,100.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1514,0,0,65535,0,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.184,69.45.79.159,1042,80,6,2007-01-06 23:17:36,3876934.0,16,0,1574,0,340.0,60.0,98.375,91.56409981537524,0.0,0.0,0.0,0.0,405.9909196287582,4.1269724994028785,0.0,0.0,0.0,0.0,3876934,258462.26666666666,720721.2904491783,2924839.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,296,0,4.1269724994028785,0.0,60,340,98.375,91.56409981537524,8383.984375,1,0,0,0,0,0,0,0,0.0,98.375,98.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1574,0,0,65535,0,10,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
