src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
67.161.32.69,130.57.5.25,1782,80,6,2006-12-02 01:50:50,0.0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,66,66,66.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,66,0,0,65535,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.57.5.25,67.161.32.69,80,1782,6,2006-12-02 01:50:50,27029.0,2,0,128,0,66.0,62.0,64.0,2.0,0.0,0.0,0.0,0.0,4735.654297236301,73.99459839431721,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,73.99459839431721,0.0,62,66,64.0,2.0,4.0,1,0,0,0,0,0,0,0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,128,0,0,6144,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.161.32.69,130.57.5.25,1782,80,6,2006-12-02 01:50:50,27068.0,3,0,182,0,66.0,54.0,60.666666666666664,4.988876515698588,0.0,0.0,0.0,0.0,6723.806709029112,110.8319787202601,0.0,0.0,0.0,0.0,27068,13534.0,13495.0,27029.0,39.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,110.8319787202601,0.0,54,66,60.666666666666664,4.988876515698588,24.88888888888889,1,0,0,0,0,0,0,0,0.0,60.666666666666664,60.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,182,0,0,64515,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.161.32.69,130.57.5.25,1782,80,6,2006-12-02 01:50:50,28241.0,4,0,1161,0,979.0,54.0,290.25,397.67346843861736,0.0,0.0,0.0,0.0,41110.44226479233,141.63804397861267,0.0,0.0,0.0,0.0,28241,9413.666666666666,12464.522061524149,27029.0,39.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,141.63804397861267,0.0,54,979,290.25,397.67346843861736,158144.1875,1,0,0,0,0,0,0,0,0.0,290.25,290.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1161,0,0,64515,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.57.5.25,67.161.32.69,80,1782,6,2006-12-02 01:50:50,61432.0,5,0,1221,0,979.0,54.0,244.2,367.42041315092985,0.0,0.0,0.0,0.0,19875.634848287536,81.39080609454356,0.0,0.0,0.0,0.0,61432,15358.0,14917.3901537769,33191.0,39.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,81.39080609454356,0.0,54,979,244.2,367.42041315092985,134997.75999999998,1,0,0,0,0,0,0,0,0.0,244.2,244.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1221,0,0,5219,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.57.5.25,67.161.32.69,80,1782,6,2006-12-02 01:50:50,72229.0,6,0,2655,0,1434.0,54.0,442.5,555.9789414477254,0.0,0.0,0.0,0.0,36758.08885627656,83.0691273588171,0.0,0.0,0.0,0.0,72229,14445.8,13466.672141253013,33191.0,39.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,83.0691273588171,0.0,54,1434,442.5,555.9789414477254,309112.5833333333,1,0,0,0,0,0,0,0,0.0,442.5,442.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2655,0,0,5219,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.57.5.25,67.161.32.69,80,1782,6,2006-12-02 01:50:50,73391.0,7,0,4089,0,1434.0,54.0,584.1428571428571,620.7494154122852,0.0,0.0,0.0,0.0,55715.27844013571,95.37954245070922,0.0,0.0,0.0,0.0,73391,12231.833333333334,13252.70881010956,33191.0,39.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,95.37954245070922,0.0,54,1434,584.1428571428571,620.7494154122852,385329.83673469385,1,0,0,0,0,0,0,0,0.0,584.1428571428571,584.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4089,0,0,5219,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.161.32.69,130.57.5.25,1782,80,6,2006-12-02 01:50:50,73430.0,8,0,4143,0,1434.0,54.0,517.875,606.5505827010637,0.0,0.0,0.0,0.0,56421.0813019202,108.94729674519952,0.0,0.0,0.0,0.0,73430,10490.0,12990.287833608614,33191.0,39.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,108.94729674519952,0.0,54,1434,517.875,606.5505827010637,367903.609375,1,0,0,0,0,0,0,0,0.0,517.875,517.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4143,0,0,64515,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.57.5.25,67.161.32.69,80,1782,6,2006-12-02 01:50:50,74556.0,9,0,5577,0,1434.0,54.0,619.6666666666666,640.2482157552473,0.0,0.0,0.0,0.0,74802.8327699984,120.71463061323033,0.0,0.0,0.0,0.0,74556,9319.5,12539.721787184913,33191.0,39.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,120.71463061323033,0.0,54,1434,619.6666666666666,640.2482157552473,409917.77777777775,1,0,0,0,0,0,0,0,0.0,619.6666666666666,619.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5577,0,0,5219,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.57.5.25,67.161.32.69,80,1782,6,2006-12-02 01:50:50,74752.0,10,0,5791,0,1434.0,54.0,579.1,619.4650030469841,0.0,0.0,0.0,0.0,77469.49914383562,133.77568493150685,0.0,0.0,0.0,0.0,74752,8305.777777777777,12165.28091448755,33191.0,39.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,133.77568493150685,0.0,54,1434,579.1,619.4650030469841,383736.88999999996,1,0,0,0,0,0,0,0,0.0,579.1,579.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5791,0,0,5219,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
