src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
24.4.97.251,216.23.168.114,2580,80,6,2006-11-27 06:30:54,0.0,1,0,62,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62,0,0,65535,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.23.168.114,24.4.97.251,80,2579,6,2006-11-27 06:30:54,27956.0,2,0,124,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,4435.541565316927,71.54099298898268,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,71.54099298898268,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,124,0,0,16384,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.4.97.251,216.23.168.114,2579,80,6,2006-11-27 06:30:54,28045.0,3,0,178,0,62.0,54.0,59.333333333333336,3.7712361663282534,0.0,0.0,0.0,0.0,6346.942413977536,106.97093956141914,0.0,0.0,0.0,0.0,28045,14022.5,13933.5,27956.0,89.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,106.97093956141914,0.0,54,62,59.333333333333336,3.7712361663282534,14.222222222222223,1,0,0,0,0,0,0,0,0.0,59.333333333333336,59.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,178,0,0,65535,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.4.97.251,216.23.168.114,2579,80,6,2006-11-27 06:30:54,28902.0,4,0,1601,0,1423.0,54.0,400.25,590.4940198681101,0.0,0.0,0.0,0.0,55394.090374368556,138.39872673171408,0.0,0.0,0.0,0.0,28902,9634.0,12959.403767149166,27956.0,89.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,138.39872673171408,0.0,54,1423,400.25,590.4940198681101,348683.1875,1,0,0,0,0,0,0,0,0.0,400.25,400.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1601,0,0,65535,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.23.168.114,24.4.97.251,80,2580,6,2006-11-27 06:30:54,32516.999999999996,5,0,1663,0,1423.0,54.0,332.6,545.2088040374991,0.0,0.0,0.0,0.0,51142.47931851032,153.76572254513025,0.0,0.0,0.0,0.0,32517,8129.25,11521.823952287243,27956.0,89.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,153.76572254513025,0.0,54,1423,332.6,545.2088040374991,297252.6400000001,1,0,0,0,0,0,0,0,0.0,332.6,332.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1663,0,0,16384,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.4.97.251,216.23.168.114,2580,80,6,2006-11-27 06:30:54,32558.999999999996,6,0,1717,0,1423.0,54.0,286.1666666666667,508.4199106600326,0.0,0.0,0.0,0.0,52735.03485979299,184.28084400626557,0.0,0.0,0.0,0.0,32559,6511.8,10801.227696887054,27956.0,42.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,184.28084400626557,0.0,54,1423,286.1666666666667,508.4199106600326,258490.8055555555,1,0,0,0,0,0,0,0,0.0,286.1666666666667,286.1666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1717,0,0,65535,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.4.97.251,216.23.168.114,2580,80,6,2006-11-27 06:30:54,33134.0,7,0,3140,0,1423.0,54.0,448.57142857142856,616.291641802079,0.0,0.0,0.0,0.0,94766.70489527375,211.26335486207523,0.0,0.0,0.0,0.0,33134,5522.333333333333,10105.311535139439,27956.0,42.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,211.26335486207523,0.0,54,1423,448.57142857142856,616.291641802079,379815.387755102,1,0,0,0,0,0,0,0,0.0,448.57142857142856,448.57142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3140,0,0,65535,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.23.168.114,24.4.97.251,80,2579,6,2006-11-27 06:30:54,65087.00000000001,8,0,4654,0,1514.0,54.0,581.75,675.64353582344,0.0,0.0,0.0,0.0,71504.29425230845,122.91240954414859,0.0,0.0,0.0,0.0,65087.00000000000363797880709,9298.142857142857,13155.590364431948,31953.000000000004,42.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,122.91240954414859,0.0,54,1514,581.75,675.64353582344,456494.1875,1,0,0,0,0,0,0,0,0.0,581.75,581.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4654,0,0,64166,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.23.168.114,24.4.97.251,80,2579,6,2006-11-27 06:30:54,65496.0,9,0,5166,0,1514.0,54.0,574.0,637.379879750774,0.0,0.0,0.0,0.0,78875.04580432393,137.41297178453647,0.0,0.0,0.0,0.0,65496.00000000000363797880709,8187.0,12652.206615843737,31953.000000000004,42.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,137.41297178453647,0.0,54,1514,574.0,637.379879750774,406253.1111111111,1,0,0,0,0,0,0,0,0.0,574.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5166,0,0,64166,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.4.97.251,216.23.168.114,2579,80,6,2006-11-27 06:30:54,65537.0,10,0,5220,0,1514.0,54.0,522.0,624.4708159714111,0.0,0.0,0.0,0.0,79649.66354883501,152.58556235409006,0.0,0.0,0.0,0.0,65537.00000000000363797880709,7281.88888888889,12200.23195994827,31953.000000000004,41.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,152.58556235409006,0.0,54,1514,522.0,624.4708159714111,389963.8,1,0,0,0,0,0,0,0,0.0,522.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5220,0,0,65535,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
