src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
10.100.25.14,10.100.18.12,1065,139,6,2006-08-24 14:35:25,0.0,1,0,60,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,60,0,0,8,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.25.14,10.100.18.12,19491,135,6,2006-08-24 14:35:25,100476.0,2,0,120,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1194.3150603129106,19.905251005215177,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,19.905251005215177,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,120,0,0,8,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.25.14,10.100.18.12,7358,445,6,2006-08-24 14:35:25,201152.0,3,0,180,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,894.8456888323258,14.914094813872097,0.0,0.0,0.0,0.0,201152,100576.0,100.0,100676.0,100476.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,14.914094813872097,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,180,0,0,8,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.25.14,10.100.18.12,27524,80,6,2006-08-24 14:35:25,301714.0,4,0,240,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,795.4552987266087,13.257588312110144,0.0,0.0,0.0,0.0,301714,100571.33333333333,81.91594608024876,100676.0,100476.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,13.257588312110144,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,240,0,0,8,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.25.14,10.100.18.12,20193,22,6,2006-08-24 14:35:25,403133.0,5,0,300,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,744.1712784614507,12.402854641024177,0.0,0.0,0.0,0.0,403133,100783.25,373.84313220921956,101419.0,100476.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,12.402854641024177,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,300,0,0,8,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.25.14,10.100.18.12,1023,515,6,2006-08-24 14:35:25,503604.00000000006,6,0,360,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,714.8473800843519,11.914123001405866,0.0,0.0,0.0,0.0,503604,100720.8,356.94111559191384,101419.0,100471.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,11.914123001405866,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,360,0,0,8,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.25.14,10.100.18.12,16748,23,6,2006-08-24 14:35:26,607512.0,7,0,420,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,691.3443685063011,11.522406141771684,0.0,0.0,0.0,0.0,607512,101252.0,1231.6816417673306,103908.0,100471.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,11.522406141771684,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,420,0,0,8,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.25.14,10.100.18.12,12502,21,6,2006-08-24 14:35:26,707986.0,8,0,480,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,677.9795080693686,11.29965846782281,0.0,0.0,0.0,0.0,707986,101140.85714285714,1172.3634771046818,103908.0,100471.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,11.29965846782281,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,480,0,0,8,0,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.25.14,10.100.18.12,30382,6000,6,2006-08-24 14:35:26,808340.0,9,0,540,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,668.0357275403915,11.133928792339857,0.0,0.0,0.0,0.0,808340,101042.5,1127.0982654586956,103908.0,100354.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,11.133928792339857,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,540,0,0,8,0,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.25.14,10.100.18.12,27986,1025,6,2006-08-24 14:35:26,904949.0,10,0,600,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,663.0207890168397,11.050346483613994,0.0,0.0,0.0,0.0,904949,100549.88888888889,1752.2916705746884,103908.0,96609.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,11.050346483613994,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,600,0,0,8,0,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
