src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
10.100.17.47,10.100.16.15,2863,139,6,2007-01-22 02:10:39,0.0,1,0,352,0,352.0,352.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,352,352,352.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,352.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,352,0,0,65241,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.16.15,10.100.17.47,139,2863,6,2007-01-22 02:10:39,361.0,2,0,514,0,352.0,162.0,257.0,95.0,0.0,0.0,0.0,0.0,1423822.7146814405,5540.16620498615,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,5540.16620498615,0.0,162,352,257.0,95.0,9025.0,1,0,0,0,0,0,0,0,0.0,257.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,514,0,0,64287,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.17.47,10.100.16.15,2863,139,6,2007-01-22 02:10:39,1946.0,3,0,736,0,352.0,162.0,245.33333333333334,79.3025150224688,0.0,0.0,0.0,0.0,378211.71634121274,1541.623843782117,0.0,0.0,0.0,0.0,1946,973.0,612.0,1585.0,361.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,1541.623843782117,0.0,162,352,245.33333333333334,79.3025150224688,6288.88888888889,1,0,0,0,0,0,0,0,0.0,245.33333333333334,245.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,736,0,0,65133,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.16.15,10.100.17.47,139,2863,6,2007-01-22 02:10:39,2033.9999999999998,4,0,894,0,352.0,158.0,223.5,78.40121172532986,0.0,0.0,0.0,0.0,439528.0235988201,1966.5683382497543,0.0,0.0,0.0,0.0,2034,678.0,650.9577559258358,1585.0,88.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,1966.5683382497543,0.0,158,352,223.5,78.40121172532986,6146.75,1,0,0,0,0,0,0,0,0.0,223.5,223.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,894,0,0,64119,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.17.47,10.100.16.15,2863,139,6,2007-01-22 02:10:39,6810.0,5,0,1246,0,352.0,158.0,249.2,86.94458004959252,0.0,0.0,0.0,0.0,182966.2261380323,734.2143906020558,0.0,0.0,0.0,0.0,6810,1702.5,1861.8835221355819,4776.0,88.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,734.2143906020558,0.0,158,352,249.2,86.94458004959252,7559.360000000001,1,0,0,0,0,0,0,0,0.0,249.2,249.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1246,0,0,65029,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.16.15,10.100.17.47,139,2863,6,2007-01-22 02:10:39,7028.0,6,0,1408,0,352.0,158.0,234.66666666666666,85.76453553512405,0.0,0.0,0.0,0.0,200341.49117814456,853.7279453614115,0.0,0.0,0.0,0.0,7028,1405.6,1768.017714843378,4776.0,88.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,853.7279453614115,0.0,158,352,234.66666666666666,85.76453553512405,7355.555555555556,1,0,0,0,0,0,0,0,0.0,234.66666666666666,234.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1408,0,0,65535,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.17.47,10.100.16.15,2863,139,6,2007-01-22 02:10:39,12160.0,7,0,1594,0,352.0,158.0,227.71428571428572,81.2082231686181,0.0,0.0,0.0,0.0,131085.52631578947,575.6578947368421,0.0,0.0,0.0,0.0,12160,2026.6666666666667,2129.207494716181,5132.0,88.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,575.6578947368421,0.0,158,352,227.71428571428572,81.2082231686181,6594.775510204082,1,0,0,0,0,0,0,0,0.0,227.71428571428572,227.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1594,0,0,64921,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.16.15,10.100.17.47,139,2863,6,2007-01-22 02:10:39,12237.0,8,0,1756,0,352.0,158.0,219.5,79.0110751730414,0.0,0.0,0.0,0.0,143499.2236659312,653.7550053117594,0.0,0.0,0.0,0.0,12237,1748.142857142857,2085.984483476836,5132.0,77.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,653.7550053117594,0.0,158,352,219.5,79.0110751730414,6242.75,1,0,0,0,0,0,0,0,0.0,219.5,219.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1756,0,0,65403,0,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.17.47,10.100.16.15,2863,139,6,2007-01-22 02:10:39,15808.0,9,0,2108,0,352.0,158.0,234.22222222222223,85.34085614988324,0.0,0.0,0.0,0.0,133350.2024291498,569.3319838056681,0.0,0.0,0.0,0.0,15808,1976.0,2042.2651639784683,5132.0,77.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,569.3319838056681,0.0,158,352,234.22222222222223,85.34085614988324,7283.061728395062,1,0,0,0,0,0,0,0,0.0,234.22222222222223,234.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2108,0,0,64813,0,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.100.16.15,10.100.17.47,139,2863,6,2007-01-22 02:10:39,16008.999999999998,10,0,2270,0,352.0,158.0,227.0,83.8105005354341,0.0,0.0,0.0,0.0,141795.24017740024,624.6486351427322,0.0,0.0,0.0,0.0,16009,1778.7777777777778,2004.6427100762191,5132.0,77.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,624.6486351427322,0.0,158,352,227.0,83.8105005354341,7024.2,1,0,0,0,0,0,0,0,0.0,227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2270,0,0,65105,0,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
