src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
192.168.0.2,192.168.0.1,1550,23,6,1999-11-28 02:12:38,0.0,1,0,74,0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,74,74,74.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,74,0,0,32120,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.2,23,1550,6,1999-11-28 02:12:38,2525.0,2,0,148,0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,58613.86138613862,792.0792079207921,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,792.0792079207921,0.0,74,74,74.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,0,0,17376,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.2,192.168.0.1,1550,23,6,1999-11-28 02:12:38,2572.0,3,0,214,0,74.0,66.0,71.33333333333333,3.7712361663282534,0.0,0.0,0.0,0.0,83203.73250388802,1166.407465007776,0.0,0.0,0.0,0.0,2572,1286.0,1239.0,2525.0,47.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,1166.407465007776,0.0,66,74,71.33333333333333,3.7712361663282534,14.222222222222221,1,0,0,0,0,0,0,0,0.0,71.33333333333333,71.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,214,0,0,32120,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.2,192.168.0.1,1550,23,6,1999-11-28 02:12:38,4160.0,4,0,307,0,93.0,66.0,76.75,9.934158243152764,0.0,0.0,0.0,0.0,73798.07692307694,961.5384615384617,0.0,0.0,0.0,0.0,4160,1386.6666666666667,1021.6073392236156,2525.0,47.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,961.5384615384617,0.0,66,93,76.75,9.934158243152764,98.6875,1,0,0,0,0,0,0,0,0.0,76.75,76.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,307,0,0,32120,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.2,23,1550,6,1999-11-28 02:12:38,150335.0,5,0,376,0,93.0,66.0,75.2,9.410632284814874,0.0,0.0,0.0,0.0,2501.080919280274,33.259054777663216,0.0,0.0,0.0,0.0,150335,37583.75,62701.42970210089,146175.0,47.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,33.259054777663216,0.0,66,93,75.2,9.410632284814874,88.56000000000002,1,0,0,0,0,0,0,0,0.0,75.2,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,376,0,0,17349,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.2,192.168.0.1,1550,23,6,1999-11-28 02:12:38,150402.0,6,0,442,0,93.0,66.0,73.66666666666667,9.249624617007738,0.0,0.0,0.0,0.0,2938.790707570378,39.893086528104675,0.0,0.0,0.0,0.0,150402,30080.4,58054.94358140399,146175.0,47.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,39.893086528104675,0.0,66,93,73.66666666666667,9.249624617007738,85.55555555555556,1,0,0,0,0,0,0,0,0.0,73.66666666666667,73.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,442,0,0,32120,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.2,192.168.0.1,1550,23,6,1999-11-28 02:12:38,150574.0,7,0,511,0,93.0,66.0,73.0,8.717797887081348,0.0,0.0,0.0,0.0,3393.6801838298775,46.48876964150517,0.0,0.0,0.0,0.0,150574,25095.666666666668,54156.11594168187,146175.0,47.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,46.48876964150517,0.0,66,93,73.0,8.717797887081348,76.0,1,0,0,0,0,0,0,0,0.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,511,0,0,32120,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.2,23,1550,6,1999-11-28 02:12:38,151946.0,8,0,577,0,93.0,66.0,72.125,8.476990916592987,0.0,0.0,0.0,0.0,3797.4017085017044,52.650283653403186,0.0,0.0,0.0,0.0,151946,21706.571428571428,50821.42399437787,146175.0,47.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,52.650283653403186,0.0,66,93,72.125,8.476990916592987,71.859375,1,0,0,0,0,0,0,0,0.0,72.125,72.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,577,0,0,17376,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.2,23,1550,6,1999-11-28 02:12:38,153657.0,9,0,668,0,93.0,66.0,74.22222222222223,9.952975856248306,0.0,0.0,0.0,0.0,4347.345060752195,58.57201429157149,0.0,0.0,0.0,0.0,153657,19207.125,47996.82928964553,146175.0,47.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,58.57201429157149,0.0,66,93,74.22222222222223,9.952975856248306,99.06172839506172,1,0,0,0,0,0,0,0,0.0,74.22222222222223,74.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,668,0,0,17376,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.2,192.168.0.1,1550,23,6,1999-11-28 02:12:38,153865.0,10,0,798,0,130.0,66.0,79.8,19.213536894595958,0.0,0.0,0.0,0.0,5186.364670327885,64.99203847528678,0.0,0.0,0.0,0.0,153865,17096.11111111111,45644.06290817495,146175.0,47.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,64.99203847528678,0.0,66,130,79.8,19.213536894595958,369.16,1,0,0,0,0,0,0,0,0.0,79.8,79.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,798,0,0,32120,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
