src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
203.211.67.195,192.168.0.193,11766,1534,6,2007-01-22 03:03:04,0.0,1,0,1472,0,1472.0,1472.0,1472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,1472,1472,1472.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,1472.0,1472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1472,0,0,65535,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.193,203.211.67.195,1534,11766,6,2007-01-22 03:03:04,33.0,2,0,1538,0,1472.0,66.0,769.0,703.0,0.0,0.0,0.0,0.0,46606060.6060606,60606.0606060606,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,60606.0606060606,0.0,66,1472,769.0,703.0,494209.0,1,0,0,0,0,0,0,0,0.0,769.0,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1538,0,0,65535,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.197.17.30,192.168.0.193,26507,4512,6,2007-01-22 03:03:04,53.0,3,0,1598,0,1472.0,60.0,532.6666666666666,664.213486430045,0.0,0.0,0.0,0.0,30150943.396226414,56603.77358490566,0.0,0.0,0.0,0.0,53,26.5,6.5,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,56603.77358490566,0.0,60,1472,532.6666666666666,664.213486430045,441179.55555555556,1,0,0,0,0,0,0,0,0.0,532.6666666666666,532.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1598,0,0,64227,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.193,124.197.17.30,4512,26507,6,2007-01-22 03:03:04,70.0,4,0,3032,0,1472.0,60.0,758.0,695.1330807838166,0.0,0.0,0.0,0.0,43314285.71428572,57142.857142857145,0.0,0.0,0.0,0.0,70,23.333333333333332,6.944222218666553,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,57142.857142857145,0.0,60,1472,758.0,695.1330807838166,483210.0,1,0,0,0,0,0,0,0,0.0,758.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3032,0,0,65108,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213.17.90.77,192.168.0.193,14173,3331,6,2007-01-22 03:03:04,121.0,5,0,3092,0,1472.0,60.0,618.4,681.5575104127311,0.0,0.0,0.0,0.0,25553719.008264463,41322.31404958678,0.0,0.0,0.0,0.0,121,30.25,13.40475661845451,51.0,17.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,41322.31404958678,0.0,60,1472,618.4,681.5575104127311,464520.64,1,0,0,0,0,0,0,0,0.0,618.4,618.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3092,0,0,65535,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.193,213.17.90.77,3331,14173,6,2007-01-22 03:03:04,136.0,6,0,4598,0,1506.0,60.0,766.3333333333334,704.643093267002,0.0,0.0,0.0,0.0,33808823.52941176,44117.64705882353,0.0,0.0,0.0,0.0,136,27.2,13.45213737664019,51.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,44117.64705882353,0.0,60,1506,766.3333333333334,704.643093267002,496521.8888888888,1,0,0,0,0,0,0,0,0.0,766.3333333333334,766.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4598,0,0,65492,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.193,213.17.90.77,3331,14173,6,2007-01-22 03:03:04,147.0,7,0,6104,0,1506.0,60.0,872.0,701.8424731682012,0.0,0.0,0.0,0.0,41523809.52380952,47619.04761904762,0.0,0.0,0.0,0.0,147,24.5,13.683932183404009,51.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,47619.04761904762,0.0,60,1506,872.0,701.8424731682012,492582.85714285716,1,0,0,0,0,0,0,0,0.0,872.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6104,0,0,65492,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189.142.91.6,192.168.0.193,3326,6881,6,2007-01-22 03:03:04,9806.0,8,0,6164,0,1506.0,60.0,770.5,709.313576635891,0.0,0.0,0.0,0.0,628594.7379155619,815.8270446665307,0.0,0.0,0.0,0.0,9806,1400.857142857143,3371.396507111447,9659.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,815.8270446665307,0.0,60,1506,770.5,709.313576635891,503125.75,1,0,0,0,0,0,0,0,0.0,770.5,770.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6164,0,0,64240,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.193,189.142.91.6,6881,3326,6,2007-01-22 03:03:04,9844.0,9,0,7598,0,1506.0,60.0,844.2222222222222,700.5016897081338,0.0,0.0,0.0,0.0,771840.7151564404,914.2624949207639,0.0,0.0,0.0,0.0,9844,1230.5,3185.6986674825353,9659.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,914.2624949207639,0.0,60,1506,844.2222222222222,700.5016897081338,490702.61728395056,1,0,0,0,0,0,0,0,0.0,844.2222222222222,844.2222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,7598,0,0,65006,0,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.68.42.31,192.168.0.193,6881,4853,6,2007-01-22 03:03:04,25255.0,10,0,7658,0,1506.0,60.0,765.8,704.970041916676,0.0,0.0,0.0,0.0,303227.0837457929,395.96119580281135,0.0,0.0,0.0,0.0,25255,2806.1111111111113,5374.146287643057,15411.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,395.96119580281135,0.0,60,1506,765.8,704.970041916676,496982.75999999995,1,0,0,0,0,0,0,0,0.0,765.8,765.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7658,0,0,17280,0,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
