src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
10.234.0.239,10.234.2.116,1793,4444,6,2003-08-12 00:29:17,0.0,1,0,60,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,60,60,60.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,60,0,0,17330,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.234.2.116,10.234.0.239,4444,1793,6,2003-08-12 00:29:17,191.0,2,0,134,0,74.0,60.0,67.0,7.0,0.0,0.0,0.0,0.0,701570.6806282722,10471.204188481675,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,10471.204188481675,0.0,60,74,67.0,7.0,49.0,1,0,0,0,0,0,0,0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,134,0,0,64475,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.234.0.239,10.234.2.116,1793,4444,6,2003-08-12 00:29:17,218319.0,3,0,194,0,74.0,60.0,64.66666666666667,6.599663291074444,0.0,0.0,0.0,0.0,888.607954415328,13.741360119824659,0.0,0.0,0.0,0.0,218319,109159.5,108968.5,218128.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,13.741360119824659,0.0,60,74,64.66666666666667,6.599663291074444,43.555555555555564,1,0,0,0,0,0,0,0,0.0,64.66666666666667,64.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,194,0,0,17310,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.234.0.239,10.234.2.116,1793,4444,6,2003-08-12 00:29:18,1673435.0,4,0,266,0,74.0,60.0,66.5,6.5383484153110105,0.0,0.0,0.0,0.0,158.95448583303207,2.3902930200455947,0.0,0.0,0.0,0.0,1673435,557811.6666666666,640697.7623166445,1455116.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,2.3902930200455947,0.0,60,74,66.5,6.5383484153110105,42.75,1,0,0,0,0,0,0,0,0.0,66.5,66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,266,0,0,17310,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.234.2.116,10.234.0.239,4444,1793,6,2003-08-12 00:29:18,1673773.0,5,0,338,0,74.0,60.0,67.6,6.248199740725323,0.0,0.0,0.0,0.0,201.93897260859148,2.987262908411117,0.0,0.0,0.0,0.0,1673773,418443.25,605095.7640495325,1455116.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,2.987262908411117,0.0,60,74,67.6,6.248199740725323,39.04,1,0,0,0,0,0,0,0,0.0,67.6,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,338,0,0,64457,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.234.0.239,10.234.2.116,1793,4444,6,2003-08-12 00:29:19,1859752.0,6,0,398,0,74.0,60.0,66.33333333333333,6.368324391514267,0.0,0.0,0.0,0.0,214.00702889417514,3.2262366164951026,0.0,0.0,0.0,0.0,1859752,371950.4,549143.9222472011,1455116.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,3.2262366164951026,0.0,60,74,66.33333333333333,6.368324391514267,40.55555555555556,1,0,0,0,0,0,0,0,0.0,66.33333333333333,66.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,398,0,0,17292,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.234.0.239,10.234.2.116,1793,4444,6,2003-08-12 00:29:20,3713980.0,7,0,464,0,74.0,60.0,66.28571428571429,5.8970764115857985,0.0,0.0,0.0,0.0,124.93335989962252,1.8847705157270638,0.0,0.0,0.0,0.0,3713980,618996.6666666666,745961.4571056752,1854228.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,1.8847705157270638,0.0,60,74,66.28571428571429,5.8970764115857985,34.775510204081634,1,0,0,0,0,0,0,0,0.0,66.28571428571429,66.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,464,0,0,17292,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.234.2.116,10.234.0.239,4444,1793,6,2003-08-12 00:29:21,3900264.0,8,0,524,0,74.0,60.0,65.5,5.894913061275798,0.0,0.0,0.0,0.0,134.34987990556536,2.05114320466512,0.0,0.0,0.0,0.0,3900264,557180.5714285715,707030.2698514716,1854228.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,2.05114320466512,0.0,60,74,65.5,5.894913061275798,34.75,1,0,0,0,0,0,0,0,0.0,65.5,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,524,0,0,64445,0,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.234.0.239,10.234.2.116,1793,4444,6,2003-08-12 00:29:22,5700286.0,9,0,584,0,74.0,60.0,64.88888888888889,5.820355934981686,0.0,0.0,0.0,0.0,102.45099982702622,1.5788681480192397,0.0,0.0,0.0,0.0,5700286,712535.75,778686.0392598467,1854228.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,1.5788681480192397,0.0,60,74,64.88888888888889,5.820355934981686,33.87654320987654,1,0,0,0,0,0,0,0,0.0,64.88888888888889,64.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,584,0,0,0,0,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.234.0.239,10.234.2.116,1793,4444,6,2003-08-12 00:29:17,5700286.0,10,0,644,0,74.0,60.0,64.4,5.713142742834281,0.0,0.0,0.0,0.0,112.97678748048781,1.7542979422435996,0.0,0.0,0.0,0.0,0,0.0,2144909.571363117,1854228.0,-5700286.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,1.7542979422435996,0.0,60,74,64.4,5.713142742834281,32.64000000000001,1,0,0,0,0,0,0,0,0.0,64.4,64.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,644,0,0,17330,0,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
