src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
59.153.220.116,172.31.28.228,30294,22,6,2023-12-21 00:20:11,0.0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,54,54,54.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,4117,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,30294,6,2023-12-21 00:20:11,42214.517,2,0,168,0,114.0,54.0,84.0,30.0,0.0,0.0,0.0,0.0,3979.6736274395844,47.377066993328384,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,47.377066993328384,0.0,54,114,84.0,30.0,900.0,1,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,168,0,0,4740,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,30294,22,6,2023-12-21 00:20:11,152645.376,3,0,222,0,114.0,54.0,74.0,28.284271247461902,0.0,0.0,0.0,0.0,1454.3512932877836,19.65339585524032,0.0,0.0,0.0,0.0,152645.3760000000111176632345,76322.68800000001,34108.171,110430.85900000001,42214.517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,19.65339585524032,0.0,54,114,74.0,28.284271247461902,800.0,1,0,0,0,0,0,0,0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,222,0,0,4117,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,30294,6,2023-12-21 00:20:11,662098.259,4,0,336,0,114.0,54.0,84.0,30.0,0.0,0.0,0.0,0.0,507.4775464709386,6.041399362749269,0.0,0.0,0.0,0.0,662098.2590000000418513081968,220699.41966666668,206070.03545592818,509452.88300000003,42214.517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,6.041399362749269,0.0,54,114,84.0,30.0,900.0,1,0,0,0,0,0,0,0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,336,0,0,4740,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,30294,6,2023-12-21 00:20:11,732079.767,5,0,442,0,114.0,54.0,88.4,28.238980151556465,0.0,0.0,0.0,0.0,603.7593441644727,6.829856834439736,0.0,0.0,0.0,0.0,732079.7670000000434811227024,183019.94175,190020.71940402535,509452.88300000003,42214.517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,6.829856834439736,0.0,54,114,88.4,28.238980151556465,797.4399999999999,1,0,0,0,0,0,0,0,0.0,88.4,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,442,0,0,4740,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,30294,22,6,2023-12-21 00:20:11,776395.504,6,0,496,0,114.0,54.0,82.66666666666667,28.790430508918913,0.0,0.0,0.0,0.0,638.8496551623514,7.728020022125218,0.0,0.0,0.0,0.0,776395.5040000000444706529379,155279.10080000001,178786.23008697137,509452.88300000003,42214.517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,7.728020022125218,0.0,54,114,82.66666666666667,28.790430508918913,828.888888888889,1,0,0,0,0,0,0,0,0.0,82.66666666666667,82.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,496,0,0,4116,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,30294,22,6,2023-12-21 00:20:11,839246.567,7,0,550,0,114.0,54.0,78.57142857142857,28.479853244290545,0.0,0.0,0.0,0.0,655.349716789488,8.340814577320755,0.0,0.0,0.0,0.0,839246.5670000000463915057480,139874.42783333335,166804.12605800843,509452.88300000003,42214.517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,8.340814577320755,0.0,54,114,78.57142857142857,28.479853244290545,811.1020408163266,1,0,0,0,0,0,0,0,0.0,78.57142857142857,78.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,550,0,0,4116,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,30294,6,2023-12-21 00:20:11,897946.9650000001,8,0,648,0,114.0,54.0,81.0,27.40437921208944,0.0,0.0,0.0,0.0,721.6461831907857,8.909212138157848,0.0,0.0,0.0,0.0,897946.9650000000474392436444,128278.13785714286,157021.2016397583,509452.88300000003,42214.517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,8.909212138157848,0.0,54,114,81.0,27.40437921208944,751.0,1,0,0,0,0,0,0,0,0.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,648,0,0,4740,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,30294,22,6,2023-12-21 00:20:12,1008261.917,9,0,702,0,114.0,54.0,78.0,27.19477073916152,0.0,0.0,0.0,0.0,696.2476596247362,8.926252046470976,0.0,0.0,0.0,0.0,1008261.917000000037660356611,126032.739625,146999.97699452474,509452.88300000003,42214.517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,8.926252046470976,0.0,54,114,78.0,27.19477073916152,739.5555555555555,1,0,0,0,0,0,0,0,0.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,702,0,0,4116,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,30294,6,2023-12-21 00:20:12,1178821.288,10,0,808,0,114.0,54.0,80.8,27.132268611378592,0.0,0.0,0.0,0.0,685.4304449920996,8.48305006178341,0.0,0.0,0.0,0.0,1178821.288000000022293534130,130980.14311111112,139297.55345280838,509452.88300000003,42214.517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,8.48305006178341,0.0,54,114,80.8,27.132268611378592,736.16,1,0,0,0,0,0,0,0,0.0,80.8,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,808,0,0,4740,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
