src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
59.153.220.116,172.31.28.228,30294,22,6,2023-12-21 00:24:13,0.0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,54,54,54.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,4113,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,30294,6,2023-12-21 00:24:13,62454.89,2,0,160,0,106.0,54.0,80.0,26.0,0.0,0.0,0.0,0.0,2561.8490401632284,32.023113002040354,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,32.023113002040354,0.0,54,106,80.0,26.0,676.0,1,0,0,0,0,0,0,0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160,0,0,4740,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,30294,22,6,2023-12-21 00:24:13,130437.946,3,0,282,0,122.0,54.0,94.0,29.028721409436322,0.0,0.0,0.0,0.0,2161.9475670063066,22.99944220219475,0.0,0.0,0.0,0.0,130437.9459999999962747097015,65218.973,2764.0829999999987,67983.056,62454.89,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,22.99944220219475,0.0,54,122,94.0,29.028721409436322,842.6666666666666,1,0,0,0,0,0,0,0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,282,0,0,4113,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,30294,6,2023-12-21 00:24:13,132849.28,4,0,396,0,122.0,54.0,99.0,26.589471600616662,0.0,0.0,0.0,0.0,2980.82157464459,30.10930883479384,0.0,0.0,0.0,0.0,132849.2799999999961073626764,44283.09333333333,29693.69548217634,67983.056,2411.334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,30.10930883479384,0.0,54,122,99.0,26.589471600616662,707.0,1,0,0,0,0,0,0,0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,396,0,0,4740,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,30294,22,6,2023-12-21 00:24:13,249035.669,5,0,450,0,122.0,54.0,90.0,29.826163011691598,0.0,0.0,0.0,0.0,1806.9700690144914,20.077445211272128,0.0,0.0,0.0,0.0,249035.6689999999916835804470,62258.91725,40381.64682117584,116186.389,2411.334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,20.077445211272128,0.0,54,122,90.0,29.826163011691598,889.6,1,0,0,0,0,0,0,0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,450,0,0,4113,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,30294,6,2023-12-21 00:24:14,445562.0,6,0,564,0,122.0,54.0,94.0,28.658913680272903,0.0,0.0,0.0,0.0,1265.817102894771,13.466139392497565,0.0,0.0,0.0,0.0,445561.9999999999972715158947,89112.4,64722.33048346092,196526.331,2411.334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,13.466139392497565,0.0,54,122,94.0,28.658913680272903,821.3333333333334,1,0,0,0,0,0,0,0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,564,0,0,4740,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,30294,22,6,2023-12-21 00:24:14,555039.369,7,0,618,0,122.0,54.0,88.28571428571429,29.998639424929568,0.0,0.0,0.0,0.0,1113.4345318845303,12.61171799869209,0.0,0.0,0.0,0.0,555039.3690000000033251126297,92506.5615,59568.60230677196,196526.331,2411.334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,12.61171799869209,0.0,54,122,88.28571428571429,29.998639424929568,899.9183673469387,1,0,0,0,0,0,0,0,0.0,88.28571428571429,88.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,618,0,0,4113,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,30294,6,2023-12-21 00:24:14,565612.244,8,0,724,0,122.0,54.0,90.5,28.666182166448326,0.0,0.0,0.0,0.0,1280.0288672675906,14.14396538417227,0.0,0.0,0.0,0.0,565612.2440000000033251126297,80801.74914285714,62157.19799940764,196526.331,2411.334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,14.14396538417227,0.0,54,122,90.5,28.666182166448326,821.75,1,0,0,0,0,0,0,0,0.0,90.5,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,724,0,0,4740,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,30294,22,6,2023-12-21 00:24:14,633116.197,9,0,838,0,122.0,54.0,93.11111111111111,28.017631133287974,0.0,0.0,0.0,0.0,1323.6116908252152,14.215400020795867,0.0,0.0,0.0,0.0,633116.1970000000119398464449,79139.524625,58308.820410635366,196526.331,2411.334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,14.215400020795867,0.0,54,122,93.11111111111111,28.017631133287974,784.9876543209876,1,0,0,0,0,0,0,0,0.0,93.11111111111111,93.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,838,0,0,4113,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,30294,6,2023-12-21 00:24:14,635445.001,10,0,952,0,122.0,54.0,95.2,27.308606701917256,0.0,0.0,0.0,0.0,1498.1627025184514,15.737003177714824,0.0,0.0,0.0,0.0,635445.0010000000115724105854,70605.00011111112,60040.44204281171,196526.331,2328.8039999999996,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,15.737003177714824,0.0,54,122,95.2,27.308606701917256,745.76,1,0,0,0,0,0,0,0,0.0,95.2,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,952,0,0,4740,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
