src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
192.168.0.183,64.233.161.104,1125,80,6,2007-01-06 19:11:04,0.0,1,0,62,0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,62,62,62.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,62,0,0,65535,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.233.161.104,192.168.0.183,80,1125,6,2007-01-06 19:11:04,52449.0,2,0,122,0,62.0,60.0,61.0,1.0,0.0,0.0,0.0,0.0,2326.0691338252395,38.132280882380975,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,38.132280882380975,0.0,60,62,61.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,122,0,0,8190,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.183,64.233.161.104,1125,80,6,2007-01-06 19:11:04,52612.0,3,0,176,0,62.0,54.0,58.666666666666664,3.39934634239519,0.0,0.0,0.0,0.0,3345.2444309283055,57.02121189082339,0.0,0.0,0.0,0.0,52612,26306.0,26143.0,52449.0,163.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,57.02121189082339,0.0,54,62,58.666666666666664,3.39934634239519,11.555555555555557,1,0,0,0,0,0,0,0,0.0,58.666666666666664,58.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,176,0,0,65535,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.183,64.233.161.104,1125,80,6,2007-01-06 19:11:04,53478.0,4,0,513,0,337.0,54.0,128.25,120.5578180791275,0.0,0.0,0.0,0.0,9592.729720632784,74.79711283144471,0.0,0.0,0.0,0.0,53478,17826.0,24483.840235278996,52449.0,163.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,74.79711283144471,0.0,54,337,128.25,120.5578180791275,14534.1875,1,0,0,0,0,0,0,0,0.0,128.25,128.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,513,0,0,65535,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.233.161.104,192.168.0.183,80,1125,6,2007-01-06 19:11:04,101710.0,5,0,573,0,337.0,54.0,114.6,111.23236938949022,0.0,0.0,0.0,0.0,5633.664339789598,49.15937469275391,0.0,0.0,0.0,0.0,101710,25427.5,24958.81069382113,52449.0,163.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,49.15937469275391,0.0,54,337,114.6,111.23236938949022,12372.64,1,0,0,0,0,0,0,0,0.0,114.6,114.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,573,0,0,6432,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.233.161.104,192.168.0.183,80,1125,6,2007-01-06 19:11:04,156219.0,6,0,2057,0,1484.0,54.0,342.8333333333333,520.3487345574654,0.0,0.0,0.0,0.0,13167.41241462306,38.40762007182225,0.0,0.0,0.0,0.0,156219,31243.8,25172.825978820892,54509.0,163.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,38.40762007182225,0.0,54,1484,342.8333333333333,520.3487345574654,270762.80555555556,1,0,0,0,0,0,0,0,0.0,342.8333333333333,342.8333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2057,0,0,6432,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.233.161.104,192.168.0.183,80,1125,6,2007-01-06 19:11:04,159606.0,7,0,3439,0,1484.0,54.0,491.2857142857143,603.5818595886475,0.0,0.0,0.0,0.0,21546.80901720487,43.85800032580229,0.0,0.0,0.0,0.0,159606,26601.0,25215.813801395874,54509.0,163.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,43.85800032580229,0.0,54,1484,491.2857142857143,603.5818595886475,364311.0612244898,1,0,0,0,0,0,0,0,0.0,491.2857142857143,491.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3439,0,0,6432,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.183,64.233.161.104,1125,80,6,2007-01-06 19:11:04,159751.0,8,0,3493,0,1484.0,54.0,436.625,582.8265045234302,0.0,0.0,0.0,0.0,21865.27783863638,50.07793378445205,0.0,0.0,0.0,0.0,159751,22821.571428571428,25113.897597358562,54509.0,145.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,50.07793378445205,0.0,54,1484,436.625,582.8265045234302,339686.734375,1,0,0,0,0,0,0,0,0.0,436.625,436.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3493,0,0,65535,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.183,64.233.161.104,1125,80,6,2007-01-06 19:11:04,170163.0,9,0,3940,0,1484.0,54.0,437.77777777777777,549.5037716537789,0.0,0.0,0.0,0.0,23154.269729612195,52.890463849367954,0.0,0.0,0.0,0.0,170163,21270.375,23847.70101046168,54509.0,145.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,52.890463849367954,0.0,54,1484,437.77777777777777,549.5037716537789,301954.39506172837,1,0,0,0,0,0,0,0,0.0,437.77777777777777,437.77777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3940,0,0,65535,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.183,64.233.161.104,1126,80,6,2007-01-06 19:11:04,173731.0,10,0,4002,0,1484.0,54.0,400.2,533.3551912187601,0.0,0.0,0.0,0.0,23035.61252741307,57.56025119293621,0.0,0.0,0.0,0.0,173731,19303.444444444445,23161.887963304962,54509.0,145.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,57.56025119293621,0.0,54,1484,400.2,533.3551912187601,284467.76000000007,1,0,0,0,0,0,0,0,0.0,400.2,400.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4002,0,0,65535,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
