src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:20,0.0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,54,54,54.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,0,0,4138,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:20,58155.864,2,0,160,0,106.0,54.0,80.0,26.0,0.0,0.0,0.0,0.0,2751.2272881028816,34.39034110128602,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,34.39034110128602,0.0,54,106,80.0,26.0,676.0,1,0,0,0,0,0,0,0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160,0,0,6052,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:20,125949.83300000001,3,0,274,0,114.0,54.0,91.33333333333333,26.599916457680003,0.0,0.0,0.0,0.0,2175.4693394472383,23.819007366210638,0.0,0.0,0.0,0.0,125949.8329999999987194314599,62974.9165,4819.052499999998,67793.969,58155.864,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,23.819007366210638,0.0,54,114,91.33333333333333,26.599916457680003,707.5555555555555,1,0,0,0,0,0,0,0,0.0,91.33333333333333,91.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,274,0,0,4138,0,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:20,128506.534,4,0,388,0,114.0,54.0,97.0,25.03996805109783,0.0,0.0,0.0,0.0,3019.3017267121995,31.126821924868036,0.0,0.0,0.0,0.0,128506.5339999999987412593327,42835.511333333336,28751.929655813088,67793.969,2556.701,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,31.126821924868036,0.0,54,114,97.0,25.03996805109783,627.0,1,0,0,0,0,0,0,0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,388,0,0,6052,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:20,233223.19,5,0,442,0,114.0,54.0,88.4,28.238980151556465,0.0,0.0,0.0,0.0,1895.1803206190602,21.438691409717876,0.0,0.0,0.0,0.0,233223.1900000000014188117347,58305.7975,36578.60517345204,104716.656,2556.701,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0,21.438691409717876,0.0,54,114,88.4,28.238980151556465,797.4399999999999,1,0,0,0,0,0,0,0,0.0,88.4,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,442,0,0,4138,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:20,247571.672,6,0,556,0,114.0,54.0,92.66666666666667,27.48737083745107,0.0,0.0,0.0,0.0,2245.81429494082,24.23540606051245,0.0,0.0,0.0,0.0,247571.6720000000013897079042,49514.3344,37142.358284078844,104716.656,2556.701,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,24.23540606051245,0.0,54,114,92.66666666666667,27.48737083745107,755.5555555555557,1,0,0,0,0,0,0,0,0.0,92.66666666666667,92.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,556,0,0,4138,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:20,250040.72999999998,7,0,670,0,114.0,54.0,95.71428571428571,26.520688881993816,0.0,0.0,0.0,0.0,2679.5634455234554,27.995438983080877,0.0,0.0,0.0,0.0,250040.7300000000013824319466,41673.455,38171.009041493635,104716.656,2469.058,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0,27.995438983080877,0.0,54,114,95.71428571428571,26.520688881993816,703.3469387755104,1,0,0,0,0,0,0,0,0.0,95.71428571428571,95.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,670,0,0,6052,0,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:20,315963.792,8,0,792,0,122.0,54.0,99.0,26.28687885618983,0.0,0.0,0.0,0.0,2506.6163277341598,25.319356845799597,0.0,0.0,0.0,0.0,315963.7920000000067375367506,45137.684571428574,36343.977338489094,104716.656,2469.058,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,25.319356845799597,0.0,54,122,99.0,26.28687885618983,691.0,1,0,0,0,0,0,0,0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,792,0,0,4138,0,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.31.28.228,59.153.220.116,22,19863,6,2023-12-16 19:22:20,318345.38800000004,9,0,906,0,122.0,54.0,100.66666666666667,25.22785057123267,0.0,0.0,0.0,0.0,2845.96552722793,28.271180734052287,0.0,0.0,0.0,0.0,318345.3880000000067411747294,39793.173500000004,36820.11261296454,104716.656,2381.596,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0,28.271180734052287,0.0,54,122,100.66666666666667,25.22785057123267,636.4444444444445,1,0,0,0,0,0,0,0,0.0,100.66666666666667,100.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,906,0,0,6052,0,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.153.220.116,172.31.28.228,19863,22,6,2023-12-16 19:22:20,387923.001,10,0,1028,0,122.0,54.0,102.8,24.77418010752324,0.0,0.0,0.0,0.0,2650.010433384949,25.778311608803005,0.0,0.0,0.0,0.0,387923.0010000000042964529710,43102.55566666667,35954.15334693588,104716.656,2381.596,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,25.778311608803005,0.0,54,122,102.8,24.77418010752324,613.7600000000001,1,0,0,0,0,0,0,0,0.0,102.8,102.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1028,0,0,4138,0,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
